	A
	
	CCl4.Sample.Raw.csv
3773.58491	0.01489
3780.71834	0.01636
3787.87879	0.01421
3795.06641	0.01426
3802.28137	0.01457
3809.52381	0.01158
3816.79389	0.01672
3824.09178	0.01022
3831.41762	0.009988
3838.77159	0.007775
3846.15385	0.01310
3853.56455	0.004115
3861.00386	0.006649
3868.47195	0.006485
3875.96899	0.008617
3883.49515	0.006651
3891.05058	0.006246
3898.63548	4.460E-4
3906.25	0.003951
3913.89432	0.001287
3921.56863	0.003799
3929.27308	0.001852
3937.00787	-0.001944
3944.77318	0.001426
3952.56917	-0.005882
3960.39604	-0.002221
3968.25397	-0.002393
3976.14314	-0.002711
3984.06375	-0.001915
3992.01597	-0.002931
4000	-0.004556
4008.01603	0.001123
4016.06426	-0.003543
4024.14487	-0.007068
4032.25806	-0.002183
4040.40404	7.230E-4
4048.583	-0.004553
4056.79513	-0.005303
4065.04065	4.130E-4
4073.31976	-7.440E-4
4081.63265	-0.005724
4089.97955	-0.005441
4098.36066	-0.001487
4106.77618	-0.001579
4115.22634	-0.002973
4123.71134	-0.007441
4132.2314	-0.009838
4140.78675	-0.005436
4149.37759	-0.002461
4158.00416	-0.001723
4166.66667	-0.002476
4175.36534	-0.003308
4184.10042	-0.001854
4192.87212	-0.004436
4201.68067	-0.006808
4210.52632	-0.005787
4219.40928	-0.006286
4228.32981	-0.006645
4237.28814	-0.006236
4246.2845	-0.006285
4255.31915	-0.006340
4264.39232	-0.006498
4273.50427	-0.006879
4282.65525	-0.007198
4291.84549	-0.007740
4301.07527	-0.006570
4310.34483	-0.005217
4319.65443	-0.002486
4329.00433	-0.003555
4338.39479	-0.003321
4347.82609	-0.003312
4357.29847	-0.005155
4366.81223	-0.007127
4376.36761	-0.007288
4385.96491	-0.003331
4395.6044	-0.001886
4405.28634	-0.006517
4415.01104	-0.007978
4424.77876	-0.003503
4434.5898	-7.970E-4
4444.44444	-0.005706
4454.34298	-0.006577
4464.28571	-0.001458
4474.27293	-0.004274
4484.30493	-0.007812
4494.38202	-0.003114
4504.5045	-0.005801
4514.67269	-0.007634
4524.88688	-9.460E-4
4535.14739	-0.007279
4545.45455	-0.003217
4555.80866	-0.006630
4566.21005	-0.004543
4576.65904	-0.005570
4587.15596	-0.004938
4597.70115	-0.004636
4608.29493	-0.006237
4618.93764	-0.004889
4629.62963	-0.004941
4640.37123	-0.007888
4651.16279	-0.003274
4662.00466	-0.006721
4672.8972	-0.004884
4683.84075	-0.004721
4694.83568	-0.006831
4705.88235	-0.004048
4716.98113	-0.004292
4728.13239	-0.007457
4739.33649	-0.005500
4750.59382	-0.003546
4761.90476	-0.005897
4773.26969	-0.007135
4784.689	-0.005569
4796.16307	-0.003572
4807.69231	-0.003921
4819.27711	-0.005607
4830.91787	-0.006780
4842.61501	-0.006819
4854.36893	-0.006799
4866.18005	-0.005775
4878.04878	-0.004561
4889.97555	-0.004549
4901.96078	-0.003806
4914.00491	-0.003949
4926.10837	-0.004248
4938.2716	-0.004482
4950.49505	-0.005020
4962.77916	-0.006116
4975.12438	-0.006517
4987.53117	-0.006877
5000	-0.006421
5012.53133	-0.004971
5025.12563	-0.004080
5037.78338	-0.004696
5050.50505	-0.006636
5063.29114	-0.006201
5076.14213	-0.004800
5089.05852	-0.004861
5102.04082	-0.006276
5115.08951	-0.005260
5128.20513	-0.004432
5141.38817	-0.005696
5154.63918	-0.004098
5167.95866	-0.004513
5181.34715	-0.005349
5194.80519	-0.004668
5208.33333	-0.005566
5221.93211	-0.004060
5235.60209	-0.005184
5249.34383	-0.003699
5263.15789	-0.004080
5277.04485	-0.001372
5291.00529	-8.330E-4
5305.03979	-0.003140
5319.14894	-0.003070
5333.33333	-0.003954
5347.59358	-0.005351
5361.93029	-0.004945
5376.34409	-0.003797
5390.83558	-0.004149
5405.40541	-0.005207
5420.0542	-0.005610
5434.78261	-0.005623
5449.59128	-0.005335
5464.48087	-0.005073
5479.45205	-0.005189
5494.50549	-0.005019
5509.64187	-0.005018
5524.86188	-0.005241
5540.1662	-0.005913
5555.55556	-0.004705
5561.73526	-0.004761
5567.92873	-0.004832
5574.13601	-0.004769
5580.35714	-0.004805
5586.59218	-0.004744
5592.84116	-0.004770
5599.10414	-0.004866
5605.38117	-0.004807
5611.67228	-0.004750
5617.97753	-0.004762
5624.29696	-0.004775
5630.63063	-0.004739
5636.97858	-0.004708
5643.34086	-0.004802
5649.71751	-0.004780
5656.1086	-0.004729
5662.51416	-0.004737
5668.93424	-0.004796
5675.3689	-0.004759
5681.81818	-0.004731
5688.28214	-0.004705
5694.76082	-0.004761
5701.25428	-0.004701
5707.76256	-0.004748
5714.28571	-0.004739
5720.8238	-0.004704
5727.37686	-0.004709
5733.94495	-0.004791
5740.52813	-0.004712
5747.12644	-0.004708
5753.73993	-0.004708
5760.36866	-0.004704
5767.01269	-0.004723
5773.67206	-0.004690
5780.34682	-0.004643
5787.03704	-0.004645
5793.74276	-0.004709
5800.46404	-0.004676
5807.20093	-0.004677
5813.95349	-0.004700
5820.72177	-0.004725
5827.50583	-0.004682
5834.30572	-0.004684
5841.1215	-0.004699
5847.95322	-0.004705
5854.80094	-0.004701
5861.66471	-0.004662
5868.5446	-0.004678
5875.44066	-0.004695
5882.35294	-0.004651
5889.28151	-0.004570
5896.22642	-0.004626
5903.18772	-0.004604
5910.16548	-0.004617
5917.15976	-0.004650
5924.17062	-0.004696
5931.1981	-0.004714
5938.24228	-0.004736
5945.30321	-0.004676
5952.38095	-0.004684
5959.47557	-0.004595
5966.58711	-0.004557
5973.71565	-0.004643
5980.86124	-0.004694
5988.02395	-0.004776
5995.20384	-0.004746
6002.40096	-0.004735
6009.61538	-0.004663
6016.84717	-0.004583
6024.09639	-0.004582
6031.36309	-0.004527
6038.64734	-0.004513
6045.94921	-0.004534
6053.26877	-0.004526
6060.60606	-0.004577
6067.96117	-0.004603
6075.33414	-0.004528
6082.72506	-0.004545
6090.13398	-0.004564
6097.56098	-0.004635
6105.00611	-0.004617
6112.46944	-0.004651
6119.95104	-0.004687
6127.45098	-0.004655
6134.96933	-0.004574
6142.50614	-0.004585
6150.0615	-0.004631
6157.63547	-0.004638
6165.22811	-0.004621
6172.83951	-0.004697
6180.46972	-0.004700
6188.11881	-0.004606
6195.78686	-0.004591
6203.47395	-0.004601
6211.18012	-0.004595
6218.90547	-0.004566
6226.65006	-0.004593
6234.41397	-0.004653
6242.19725	-0.004638
6250	-0.004620
6257.82228	-0.004598
6265.66416	-0.004553
6273.52572	-0.004554
6281.40704	-0.004557
6289.30818	-0.004567
6297.22922	-0.004560
6305.17024	-0.004593
6313.13131	-0.004639
6321.11252	-0.004639
6329.11392	-0.004569
6337.13561	-0.004578
6345.17766	-0.004617
6353.24015	-0.004578
6361.32316	-0.004545
6369.42675	-0.004522
6377.55102	-0.004516
6385.69604	-0.004542
6393.86189	-0.004572
6402.04866	-0.004554
6410.25641	-0.004536
6418.48524	-0.004533
6426.73522	-0.004544
6435.00644	-0.004534
6443.29897	-0.004543
6451.6129	-0.004519
6459.94832	-0.004478
6468.3053	-0.004522
6476.68394	-0.004469
6485.08431	-0.004483
6493.50649	-0.004604
6501.95059	-0.004555
6510.41667	-0.004499
6518.90482	-0.004506
6527.41514	-0.004526
6535.94771	-0.004546
6544.50262	-0.004507
6553.07995	-0.004503
6561.67979	-0.004530
6570.30223	-0.004480
6578.94737	-0.004434
6587.61528	-0.004434
6596.30607	-0.004437
6605.01982	-0.004411
6613.75661	-0.004432
6622.51656	-0.004455
6631.29973	-0.004398
6640.10624	-0.004372
6648.93617	-0.004441
6657.78961	-0.004509
6666.66667	-0.004476
6675.56742	-0.004407
6684.49198	-0.004364
6693.44043	-0.004347
6702.41287	-0.004352
6711.4094	-0.004327
6720.43011	-0.004347
6729.4751	-0.004396
6738.54447	-0.004369
6747.63833	-0.004338
6756.75676	-0.004316
6765.89986	-0.004279
6775.06775	-0.004280
6784.26052	-0.004286
6793.47826	-0.004331
6802.72109	-0.004279
6811.9891	-0.004178
6821.2824	-0.004214
6830.60109	-0.004212
6839.94528	-0.004238
6849.31507	-0.004287
6858.71056	-0.004244
6868.13187	-0.004271
6877.57909	-0.004206
6887.05234	-0.004240
6896.55172	-0.004258
6906.07735	-0.004255
6915.62932	-0.004243
6925.20776	-0.004274
6934.81276	-0.004268
6944.44444	-0.004258
6954.10292	-0.004210
6963.7883	-0.004239
6973.5007	-0.004222
6983.24022	-0.004173
6993.00699	-0.004177
7002.80112	-0.004168
7012.62272	-0.004053
7022.47191	-0.004025
7032.3488	-0.003949
7042.25352	-0.003976
7052.18618	-0.003937
7062.14689	-0.003850
7072.13579	-0.003764
7082.15297	-0.003547
7092.19858	-0.003473
7102.27273	-0.003347
7112.37553	-0.003131
7122.50712	-0.003079
7132.66762	-0.002968
7142.85714	-0.002804
7153.07582	-0.002789
7163.32378	-0.002722
7173.60115	-0.002650
7183.90805	-0.002796
7194.2446	-0.002928
7204.61095	-0.003060
7215.00722	-0.003112
7225.43353	-0.003211
7235.89001	-0.003205
7246.37681	-0.003417
7256.89405	-0.003428
7267.44186	-0.003418
7278.02038	-0.003574
7288.62974	-0.003636
7299.27007	-0.003570
7309.94152	-0.003572
7320.64422	-0.003712
7331.3783	-0.003816
7342.14391	-0.003829
7352.94118	-0.003980
7363.77025	-0.004033
7374.63127	-0.004069
7385.52437	-0.004051
7396.4497	-0.004113
7407.40741	-0.004049
7418.39763	-0.004146
7429.42051	-0.004234
7440.47619	-0.004129
7451.56483	-0.004206
7462.68657	-0.004234
7473.84155	-0.004258
7485.02994	-0.004196
7496.25187	-0.004158
7507.50751	-0.004140
7518.79699	-0.004219
7530.12048	-0.004174
7541.47813	-0.004075
7552.87009	-0.004258
7564.29652	-0.004123
7575.75758	-0.004217
7587.25341	-0.004190
7598.78419	-0.004190
7610.35008	-0.004227
7621.95122	-0.004277
