	A
	
	CCl4.Sample.Raw.csv
2650	0.01489
2645	0.01636
2640	0.01421
2635	0.01426
2630	0.01457
2625	0.01158
2620	0.01672
2615	0.01022
2610	0.009988
2605	0.007775
2600	0.01310
2595	0.004115
2590	0.006649
2585	0.006485
2580	0.008617
2575	0.006651
2570	0.006246
2565	4.460E-4
2560	0.003951
2555	0.001287
2550	0.003799
2545	0.001852
2540	-0.001944
2535	0.001426
2530	-0.005882
2525	-0.002221
2520	-0.002393
2515	-0.002711
2510	-0.001915
2505	-0.002931
2500	-0.004556
2495	0.001123
2490	-0.003543
2485	-0.007068
2480	-0.002183
2475	7.230E-4
2470	-0.004553
2465	-0.005303
2460	4.130E-4
2455	-7.440E-4
2450	-0.005724
2445	-0.005441
2440	-0.001487
2435	-0.001579
2430	-0.002973
2425	-0.007441
2420	-0.009838
2415	-0.005436
2410	-0.002461
2405	-0.001723
2400	-0.002476
2395	-0.003308
2390	-0.001854
2385	-0.004436
2380	-0.006808
2375	-0.005787
2370	-0.006286
2365	-0.006645
2360	-0.006236
2355	-0.006285
2350	-0.006340
2345	-0.006498
2340	-0.006879
2335	-0.007198
2330	-0.007740
2325	-0.006570
2320	-0.005217
2315	-0.002486
2310	-0.003555
2305	-0.003321
2300	-0.003312
2295	-0.005155
2290	-0.007127
2285	-0.007288
2280	-0.003331
2275	-0.001886
2270	-0.006517
2265	-0.007978
2260	-0.003503
2255	-7.970E-4
2250	-0.005706
2245	-0.006577
2240	-0.001458
2235	-0.004274
2230	-0.007812
2225	-0.003114
2220	-0.005801
2215	-0.007634
2210	-9.460E-4
2205	-0.007279
2200	-0.003217
2195	-0.006630
2190	-0.004543
2185	-0.005570
2180	-0.004938
2175	-0.004636
2170	-0.006237
2165	-0.004889
2160	-0.004941
2155	-0.007888
2150	-0.003274
2145	-0.006721
2140	-0.004884
2135	-0.004721
2130	-0.006831
2125	-0.004048
2120	-0.004292
2115	-0.007457
2110	-0.005500
2105	-0.003546
2100	-0.005897
2095	-0.007135
2090	-0.005569
2085	-0.003572
2080	-0.003921
2075	-0.005607
2070	-0.006780
2065	-0.006819
2060	-0.006799
2055	-0.005775
2050	-0.004561
2045	-0.004549
2040	-0.003806
2035	-0.003949
2030	-0.004248
2025	-0.004482
2020	-0.005020
2015	-0.006116
2010	-0.006517
2005	-0.006877
2000	-0.006421
1995	-0.004971
1990	-0.004080
1985	-0.004696
1980	-0.006636
1975	-0.006201
1970	-0.004800
1965	-0.004861
1960	-0.006276
1955	-0.005260
1950	-0.004432
1945	-0.005696
1940	-0.004098
1935	-0.004513
1930	-0.005349
1925	-0.004668
1920	-0.005566
1915	-0.004060
1910	-0.005184
1905	-0.003699
1900	-0.004080
1895	-0.001372
1890	-8.330E-4
1885	-0.003140
1880	-0.003070
1875	-0.003954
1870	-0.005351
1865	-0.004945
1860	-0.003797
1855	-0.004149
1850	-0.005207
1845	-0.005610
1840	-0.005623
1835	-0.005335
1830	-0.005073
1825	-0.005189
1820	-0.005019
1815	-0.005018
1810	-0.005241
1805	-0.005913
1800	-0.004705
1798	-0.004761
1796	-0.004832
1794	-0.004769
1792	-0.004805
1790	-0.004744
1788	-0.004770
1786	-0.004866
1784	-0.004807
1782	-0.004750
1780	-0.004762
1778	-0.004775
1776	-0.004739
1774	-0.004708
1772	-0.004802
1770	-0.004780
1768	-0.004729
1766	-0.004737
1764	-0.004796
1762	-0.004759
1760	-0.004731
1758	-0.004705
1756	-0.004761
1754	-0.004701
1752	-0.004748
1750	-0.004739
1748	-0.004704
1746	-0.004709
1744	-0.004791
1742	-0.004712
1740	-0.004708
1738	-0.004708
1736	-0.004704
1734	-0.004723
1732	-0.004690
1730	-0.004643
1728	-0.004645
1726	-0.004709
1724	-0.004676
1722	-0.004677
1720	-0.004700
1718	-0.004725
1716	-0.004682
1714	-0.004684
1712	-0.004699
1710	-0.004705
1708	-0.004701
1706	-0.004662
1704	-0.004678
1702	-0.004695
1700	-0.004651
1698	-0.004570
1696	-0.004626
1694	-0.004604
1692	-0.004617
1690	-0.004650
1688	-0.004696
1686	-0.004714
1684	-0.004736
1682	-0.004676
1680	-0.004684
1678	-0.004595
1676	-0.004557
1674	-0.004643
1672	-0.004694
1670	-0.004776
1668	-0.004746
1666	-0.004735
1664	-0.004663
1662	-0.004583
1660	-0.004582
1658	-0.004527
1656	-0.004513
1654	-0.004534
1652	-0.004526
1650	-0.004577
1648	-0.004603
1646	-0.004528
1644	-0.004545
1642	-0.004564
1640	-0.004635
1638	-0.004617
1636	-0.004651
1634	-0.004687
1632	-0.004655
1630	-0.004574
1628	-0.004585
1626	-0.004631
1624	-0.004638
1622	-0.004621
1620	-0.004697
1618	-0.004700
1616	-0.004606
1614	-0.004591
1612	-0.004601
1610	-0.004595
1608	-0.004566
1606	-0.004593
1604	-0.004653
1602	-0.004638
1600	-0.004620
1598	-0.004598
1596	-0.004553
1594	-0.004554
1592	-0.004557
1590	-0.004567
1588	-0.004560
1586	-0.004593
1584	-0.004639
1582	-0.004639
1580	-0.004569
1578	-0.004578
1576	-0.004617
1574	-0.004578
1572	-0.004545
1570	-0.004522
1568	-0.004516
1566	-0.004542
1564	-0.004572
1562	-0.004554
1560	-0.004536
1558	-0.004533
1556	-0.004544
1554	-0.004534
1552	-0.004543
1550	-0.004519
1548	-0.004478
1546	-0.004522
1544	-0.004469
1542	-0.004483
1540	-0.004604
1538	-0.004555
1536	-0.004499
1534	-0.004506
1532	-0.004526
1530	-0.004546
1528	-0.004507
1526	-0.004503
1524	-0.004530
1522	-0.004480
1520	-0.004434
1518	-0.004434
1516	-0.004437
1514	-0.004411
1512	-0.004432
1510	-0.004455
1508	-0.004398
1506	-0.004372
1504	-0.004441
1502	-0.004509
1500	-0.004476
1498	-0.004407
1496	-0.004364
1494	-0.004347
1492	-0.004352
1490	-0.004327
1488	-0.004347
1486	-0.004396
1484	-0.004369
1482	-0.004338
1480	-0.004316
1478	-0.004279
1476	-0.004280
1474	-0.004286
1472	-0.004331
1470	-0.004279
1468	-0.004178
1466	-0.004214
1464	-0.004212
1462	-0.004238
1460	-0.004287
1458	-0.004244
1456	-0.004271
1454	-0.004206
1452	-0.004240
1450	-0.004258
1448	-0.004255
1446	-0.004243
1444	-0.004274
1442	-0.004268
1440	-0.004258
1438	-0.004210
1436	-0.004239
1434	-0.004222
1432	-0.004173
1430	-0.004177
1428	-0.004168
1426	-0.004053
1424	-0.004025
1422	-0.003949
1420	-0.003976
1418	-0.003937
1416	-0.003850
1414	-0.003764
1412	-0.003547
1410	-0.003473
1408	-0.003347
1406	-0.003131
1404	-0.003079
1402	-0.002968
1400	-0.002804
1398	-0.002789
1396	-0.002722
1394	-0.002650
1392	-0.002796
1390	-0.002928
1388	-0.003060
1386	-0.003112
1384	-0.003211
1382	-0.003205
1380	-0.003417
1378	-0.003428
1376	-0.003418
1374	-0.003574
1372	-0.003636
1370	-0.003570
1368	-0.003572
1366	-0.003712
1364	-0.003816
1362	-0.003829
1360	-0.003980
1358	-0.004033
1356	-0.004069
1354	-0.004051
1352	-0.004113
1350	-0.004049
1348	-0.004146
1346	-0.004234
1344	-0.004129
1342	-0.004206
1340	-0.004234
1338	-0.004258
1336	-0.004196
1334	-0.004158
1332	-0.004140
1330	-0.004219
1328	-0.004174
1326	-0.004075
1324	-0.004258
1322	-0.004123
1320	-0.004217
1318	-0.004190
1316	-0.004190
1314	-0.004227
1312	-0.004277
1310	-0.004231
1308	-0.004205
1306	-0.004198
1304	-0.004209
1302	-0.004170
1300	-0.004144
1298	-0.004170
1296	-0.004142
1294	-0.004185
1292	-0.004222
1290	-0.004218
1288	-0.004159
1286	-0.004223
1284	-0.004215
1282	-0.004152
1280	-0.004226
1278	-0.004196
1276	-0.004190
1274	-0.004141
1272	-0.004102
1270	-0.004121
1268	-0.004158
1266	-0.004171
1264	-0.004171
1262	-0.004179
1260	-0.004213
1258	-0.004248
1256	-0.004157
1254	-0.004112
1252	-0.004139
1250	-0.004115
1248	-0.004101
1246	-0.004144
1244	-0.004114
1242	-0.004133
1240	-0.004161
1238	-0.004132
1236	-0.004148
1234	-0.004081
1232	-0.004112
1230	-0.004055
1228	-0.003999
1226	-0.004003
1224	-0.004052
1222	-0.004055
1220	-0.004130
1218	-0.004165
1216	-0.004135
1214	-0.004099
1212	-0.004002
1210	-0.004008
1208	-0.004029
1206	-0.004023
1204	-0.004025
1202	-0.003997
1200	-0.004038
1198	-0.004065
1196	-0.004039
1194	-0.004016
1192	-0.004025
1190	-0.004036
1188	-0.004029
1186	-0.004000
1184	-0.003955
1182	-0.004024
1180	-0.003987
1178	-0.003952
1176	-0.003947
1174	-0.003968
1172	-0.003968
1170	-0.003973
1168	-0.003930
1166	-0.003898
1164	-0.003878
1162	-0.003845
1160	-0.003871
1158	-0.003876
1156	-0.003884
1154	-0.003823
1152	-0.003796
1150	-0.003833
1148	-0.003856
1146	-0.003846
1144	-0.003851
1142	-0.003825
1140	-0.003803
1138	-0.003879
1136	-0.003909
1134	-0.003853
1132	-0.003796
1130	-0.003796
1128	-0.003828
1126	-0.003851
1124	-0.003837
1122	-0.003815
1120	-0.003831
1118	-0.003811
1116	-0.003831
1114	-0.003855
1112	-0.003878
1110	-0.003937
1108	-0.003882
1106	-0.003896
1104	-0.003898
1102	-0.003859
1100	-0.003872
1098	-0.003850
1096	-0.003798
1094	-0.003839
1092	-0.003910
1090	-0.003858
1088	-0.003794
1086	-0.003791
1084	-0.003843
1082	-0.003860
1080	-0.003807
1078	-0.003782
1076	-0.003821
1074	-0.003753
1072	-0.003751
1070	-0.003808
1068	-0.003819
1066	-0.003770
1064	-0.003717
1062	-0.003685
1060	-0.003760
1058	-0.003761
1056	-0.003731
1054	-0.003702
1052	-0.003744
1050	-0.003738
1048	-0.003720
1046	-0.003708
1044	-0.003705
1042	-0.003736
1040	-0.003714
1038	-0.003684
