	A
	
	DCM.Sample.Raw.csv
3773.58491	1.762
3780.71834	1.610
3787.87879	1.479
3795.06641	1.366
3802.28137	1.273
3809.52381	1.199
3816.79389	1.199
3824.09178	1.186
3831.41762	1.138
3838.77159	1.062
3846.15385	0.9925
3853.56455	0.9651
3861.00386	0.9478
3868.47195	0.9637
3875.96899	1.009
3883.49515	1.057
3891.05058	1.087
3898.63548	1.193
3906.25	1.341
3913.89432	1.494
3921.56863	1.674
3929.27308	1.909
3937.00787	2.132
3944.77318	2.270
3952.56917	2.291
3960.39604	2.207
3968.25397	2.023
3976.14314	1.854
3984.06375	1.645
3992.01597	1.399
4000	1.169
4008.01603	1.015
4016.06426	0.9065
4024.14487	0.8054
4032.25806	0.7178
4040.40404	0.6554
4048.583	0.5989
4056.79513	0.5653
4065.04065	0.5487
4073.31976	0.5431
4081.63265	0.5513
4089.97955	0.5757
4098.36066	0.6265
4106.77618	0.7053
4115.22634	0.8050
4123.71134	0.9487
4132.2314	1.145
4140.78675	1.338
4149.37759	1.605
4158.00416	1.866
4166.66667	2.106
4175.36534	2.238
4184.10042	2.359
4192.87212	2.377
4201.68067	2.368
4210.52632	2.378
4219.40928	2.359
4228.32981	2.316
4237.28814	2.360
4246.2845	2.388
4255.31915	2.364
4264.39232	2.243
4273.50427	2.136
4282.65525	1.962
4291.84549	1.823
4301.07527	1.680
4310.34483	1.519
4319.65443	1.396
4329.00433	1.323
4338.39479	1.283
4347.82609	1.237
4357.29847	1.232
4366.81223	1.356
4376.36761	1.493
4385.96491	1.695
4395.6044	1.904
4405.28634	2.149
4415.01104	2.330
4424.77876	2.385
4434.5898	2.353
4444.44444	2.320
4454.34298	2.353
4464.28571	2.400
4474.27293	2.379
4484.30493	2.369
4494.38202	2.321
4504.5045	2.246
4514.67269	2.039
4524.88688	1.732
4535.14739	1.407
4545.45455	1.148
4555.80866	0.9402
4566.21005	0.7244
4576.65904	0.5549
4587.15596	0.4187
4597.70115	0.3256
4608.29493	0.2804
4618.93764	0.2524
