	A
	
	DCM.Sample.Raw.csv
2650	1.762
2645	1.610
2640	1.479
2635	1.366
2630	1.273
2625	1.199
2620	1.199
2615	1.186
2610	1.138
2605	1.062
2600	0.9925
2595	0.9651
2590	0.9478
2585	0.9637
2580	1.009
2575	1.057
2570	1.087
2565	1.193
2560	1.341
2555	1.494
2550	1.674
2545	1.909
2540	2.132
2535	2.270
2530	2.291
2525	2.207
2520	2.023
2515	1.854
2510	1.645
2505	1.399
2500	1.169
2495	1.015
2490	0.9065
2485	0.8054
2480	0.7178
2475	0.6554
2470	0.5989
2465	0.5653
2460	0.5487
2455	0.5431
2450	0.5513
2445	0.5757
2440	0.6265
2435	0.7053
2430	0.8050
2425	0.9487
2420	1.145
2415	1.338
2410	1.605
2405	1.866
2400	2.106
2395	2.238
2390	2.359
2385	2.377
2380	2.368
2375	2.378
2370	2.359
2365	2.316
2360	2.360
2355	2.388
2350	2.364
2345	2.243
2340	2.136
2335	1.962
2330	1.823
2325	1.680
2320	1.519
2315	1.396
2310	1.323
2305	1.283
2300	1.237
2295	1.232
2290	1.356
2285	1.493
2280	1.695
2275	1.904
2270	2.149
2265	2.330
2260	2.385
2255	2.353
2250	2.320
2245	2.353
2240	2.400
2235	2.379
2230	2.369
2225	2.321
2220	2.246
2215	2.039
2210	1.732
2205	1.407
2200	1.148
2195	0.9402
2190	0.7244
2185	0.5549
2180	0.4187
2175	0.3256
2170	0.2804
2165	0.2524
2160	0.2407
2155	0.2324
2150	0.2211
2145	0.2065
2140	0.1895
2135	0.1642
2130	0.1334
2125	0.1057
2120	0.1152
2115	0.1460
2110	0.1746
2105	0.1969
2100	0.2050
2095	0.2008
2090	0.2219
2085	0.2481
2080	0.2583
2075	0.2488
2070	0.2405
2065	0.2281
2060	0.2046
2055	0.1684
2050	0.1186
2045	0.07316
2040	0.06657
2035	0.07501
2030	0.07590
2025	0.06708
2020	0.05050
2015	0.03380
2010	0.05127
2005	0.08235
2000	0.1079
1995	0.1223
1990	0.1309
1985	0.1498
