	A
	
	EtOH.Sample.Raw.csv
3773.58491	4.000
3780.71834	4.000
3787.87879	4.000
3795.06641	4.000
3802.28137	4.000
3809.52381	4.000
3816.79389	4.000
3824.09178	4.000
3831.41762	4.000
3838.77159	4.000
3846.15385	4.000
3853.56455	4.000
3861.00386	4.000
3868.47195	4.000
3875.96899	4.000
3883.49515	4.000
3891.05058	4.000
3898.63548	4.000
3906.25	4.000
3913.89432	4.000
3921.56863	4.000
3929.27308	4.000
3937.00787	4.000
3944.77318	4.000
3952.56917	4.000
3960.39604	4.000
3968.25397	4.000
3976.14314	4.000
3984.06375	4.000
3992.01597	4.000
4000	4.000
4008.01603	4.000
4016.06426	4.000
4024.14487	4.000
4032.25806	4.000
4040.40404	4.000
4048.583	4.000
4056.79513	4.000
4065.04065	4.000
4073.31976	4.000
4081.63265	4.000
4089.97955	4.000
4098.36066	4.000
4106.77618	4.000
4115.22634	4.000
4123.71134	4.000
4132.2314	4.000
4140.78675	4.000
4149.37759	4.000
4158.00416	4.000
4166.66667	4.000
4175.36534	4.000
4184.10042	4.000
4192.87212	4.000
4201.68067	4.000
4210.52632	4.000
4219.40928	4.000
4228.32981	4.000
4237.28814	4.000
4246.2845	4.000
4255.31915	4.000
4264.39232	4.000
4273.50427	4.000
4282.65525	4.000
4291.84549	4.000
4301.07527	4.000
4310.34483	4.000
4319.65443	4.000
4329.00433	4.000
4338.39479	4.000
4347.82609	4.000
4357.29847	4.000
4366.81223	4.000
4376.36761	4.000
4385.96491	4.000
4395.6044	4.000
4405.28634	4.000
4415.01104	4.000
4424.77876	4.000
4434.5898	4.000
4444.44444	4.000
4454.34298	4.000
4464.28571	4.000
4474.27293	4.000
4484.30493	4.000
4494.38202	4.000
4504.5045	4.000
4514.67269	4.000
4524.88688	4.000
4535.14739	4.000
4545.45455	4.000
4555.80866	4.000
4566.21005	4.000
4576.65904	4.000
4587.15596	4.000
4597.70115	4.000
4608.29493	4.000
4618.93764	4.000
4629.62963	4.000
4640.37123	4.000
4651.16279	4.000
4662.00466	4.000
4672.8972	4.000
4683.84075	4.000
4694.83568	4.000
4705.88235	4.000
4716.98113	4.000
4728.13239	4.000
4739.33649	4.000
4750.59382	4.000
4761.90476	4.000
4773.26969	4.000
4784.689	4.000
4796.16307	4.000
4807.69231	4.000
4819.27711	4.000
4830.91787	4.000
4842.61501	4.000
4854.36893	4.000
4866.18005	4.000
4878.04878	4.000
4889.97555	4.000
4901.96078	3.962
4914.00491	3.799
4926.10837	3.568
4938.2716	3.313
4950.49505	3.029
4962.77916	2.750
4975.12438	2.554
4987.53117	2.446
5000	2.476
5012.53133	2.407
5025.12563	2.457
5037.78338	2.511
5050.50505	2.546
5063.29114	2.611
5076.14213	2.642
5089.05852	2.702
5102.04082	2.798
5115.08951	2.902
5128.20513	2.937
5141.38817	2.927
5154.63918	2.967
5167.95866	2.932
5181.34715	2.850
5194.80519	2.745
5208.33333	2.591
5221.93211	2.449
5235.60209	2.306
5249.34383	2.176
5263.15789	1.978
5277.04485	1.785
5291.00529	1.626
5305.03979	1.443
5319.14894	1.285
5333.33333	1.142
5347.59358	1.030
5361.93029	0.9687
5376.34409	0.9645
5390.83558	1.005
5405.40541	1.066
5420.0542	1.135
5434.78261	1.208
5449.59128	1.279
5464.48087	1.338
5479.45205	1.383
5494.50549	1.433
5509.64187	1.481
5524.86188	1.527
5540.1662	1.569
5555.55556	1.611
5561.73526	1.633
5567.92873	1.656
5574.13601	1.682
5580.35714	1.709
5586.59218	1.739
5592.84116	1.772
5599.10414	1.808
5605.38117	1.848
5611.67228	1.893
5617.97753	1.938
5624.29696	1.991
5630.63063	2.046
5636.97858	2.109
5643.34086	2.172
5649.71751	2.237
5656.1086	2.298
5662.51416	2.352
5668.93424	2.396
5675.3689	2.429
5681.81818	2.455
5688.28214	2.466
5694.76082	2.484
5701.25428	2.495
5707.76256	2.506
5714.28571	2.535
5720.8238	2.575
5727.37686	2.620
5733.94495	2.687
5740.52813	2.763
5747.12644	2.852
5753.73993	2.953
5760.36866	3.061
5767.01269	3.163
5773.67206	3.232
5780.34682	3.281
5787.03704	3.325
5793.74276	3.302
5800.46404	3.285
5807.20093	3.247
5813.95349	3.247
5820.72177	3.224
5827.50583	3.213
5834.30572	3.211
5841.1215	3.224
5847.95322	3.243
5854.80094	3.264
5861.66471	3.318
5868.5446	3.351
5875.44066	3.396
5882.35294	3.432
5889.28151	3.477
5896.22642	3.511
5903.18772	3.451
5910.16548	3.360
5917.15976	3.173
5924.17062	2.931
5931.1981	2.717
5938.24228	2.521
5945.30321	2.347
5952.38095	2.195
5959.47557	2.064
