	A
	
	EtOH.Sample.Raw.csv
2650	4.000
2645	4.000
2640	4.000
2635	4.000
2630	4.000
2625	4.000
2620	4.000
2615	4.000
2610	4.000
2605	4.000
2600	4.000
2595	4.000
2590	4.000
2585	4.000
2580	4.000
2575	4.000
2570	4.000
2565	4.000
2560	4.000
2555	4.000
2550	4.000
2545	4.000
2540	4.000
2535	4.000
2530	4.000
2525	4.000
2520	4.000
2515	4.000
2510	4.000
2505	4.000
2500	4.000
2495	4.000
2490	4.000
2485	4.000
2480	4.000
2475	4.000
2470	4.000
2465	4.000
2460	4.000
2455	4.000
2450	4.000
2445	4.000
2440	4.000
2435	4.000
2430	4.000
2425	4.000
2420	4.000
2415	4.000
2410	4.000
2405	4.000
2400	4.000
2395	4.000
2390	4.000
2385	4.000
2380	4.000
2375	4.000
2370	4.000
2365	4.000
2360	4.000
2355	4.000
2350	4.000
2345	4.000
2340	4.000
2335	4.000
2330	4.000
2325	4.000
2320	4.000
2315	4.000
2310	4.000
2305	4.000
2300	4.000
2295	4.000
2290	4.000
2285	4.000
2280	4.000
2275	4.000
2270	4.000
2265	4.000
2260	4.000
2255	4.000
2250	4.000
2245	4.000
2240	4.000
2235	4.000
2230	4.000
2225	4.000
2220	4.000
2215	4.000
2210	4.000
2205	4.000
2200	4.000
2195	4.000
2190	4.000
2185	4.000
2180	4.000
2175	4.000
2170	4.000
2165	4.000
2160	4.000
2155	4.000
2150	4.000
2145	4.000
2140	4.000
2135	4.000
2130	4.000
2125	4.000
2120	4.000
2115	4.000
2110	4.000
2105	4.000
2100	4.000
2095	4.000
2090	4.000
2085	4.000
2080	4.000
2075	4.000
2070	4.000
2065	4.000
2060	4.000
2055	4.000
2050	4.000
2045	4.000
2040	3.962
2035	3.799
2030	3.568
2025	3.313
2020	3.029
2015	2.750
2010	2.554
2005	2.446
2000	2.476
1995	2.407
1990	2.457
1985	2.511
1980	2.546
1975	2.611
1970	2.642
1965	2.702
1960	2.798
1955	2.902
1950	2.937
1945	2.927
1940	2.967
1935	2.932
1930	2.850
1925	2.745
1920	2.591
1915	2.449
1910	2.306
1905	2.176
1900	1.978
1895	1.785
1890	1.626
1885	1.443
1880	1.285
1875	1.142
1870	1.030
1865	0.9687
1860	0.9645
1855	1.005
1850	1.066
1845	1.135
1840	1.208
1835	1.279
1830	1.338
1825	1.383
1820	1.433
1815	1.481
1810	1.527
1805	1.569
1800	1.611
1798	1.633
1796	1.656
1794	1.682
1792	1.709
1790	1.739
1788	1.772
1786	1.808
1784	1.848
1782	1.893
1780	1.938
1778	1.991
1776	2.046
1774	2.109
1772	2.172
1770	2.237
1768	2.298
1766	2.352
1764	2.396
1762	2.429
1760	2.455
1758	2.466
1756	2.484
1754	2.495
1752	2.506
1750	2.535
1748	2.575
1746	2.620
1744	2.687
1742	2.763
1740	2.852
1738	2.953
1736	3.061
1734	3.163
1732	3.232
1730	3.281
1728	3.325
1726	3.302
1724	3.285
1722	3.247
1720	3.247
1718	3.224
1716	3.213
1714	3.211
1712	3.224
1710	3.243
1708	3.264
1706	3.318
1704	3.351
1702	3.396
1700	3.432
1698	3.477
1696	3.511
1694	3.451
1692	3.360
1690	3.173
1688	2.931
1686	2.717
1684	2.521
1682	2.347
1680	2.195
1678	2.064
1676	1.951
1674	1.854
1672	1.775
1670	1.710
1668	1.658
1666	1.618
1664	1.587
1662	1.565
1660	1.551
1658	1.545
1656	1.544
1654	1.548
1652	1.556
1650	1.568
1648	1.583
1646	1.602
1644	1.623
1642	1.647
1640	1.674
1638	1.702
1636	1.734
1634	1.767
1632	1.802
1630	1.838
1628	1.877
1626	1.916
1624	1.957
1622	1.999
1620	2.042
1618	2.086
1616	2.129
1614	2.172
1612	2.215
1610	2.257
1608	2.300
1606	2.342
1604	2.380
1602	2.418
1600	2.456
1598	2.489
1596	2.519
1594	2.552
1592	2.583
1590	2.606
1588	2.627
1586	2.645
1584	2.658
1582	2.668
1580	2.673
1578	2.676
1576	2.679
1574	2.672
1572	2.660
1570	2.651
1568	2.639
1566	2.623
1564	2.605
1562	2.588
1560	2.567
1558	2.550
1556	2.531
1554	2.513
1552	2.495
1550	2.482
1548	2.467
1546	2.452
1544	2.443
1542	2.430
1540	2.419
1538	2.410
1536	2.404
1534	2.400
1532	2.394
1530	2.392
1528	2.390
1526	2.389
1524	2.389
1522	2.389
1520	2.390
1518	2.391
1516	2.393
1514	2.393
1512	2.395
1510	2.396
1508	2.396
1506	2.396
1504	2.395
1502	2.395
1500	2.393
1498	2.389
1496	2.385
1494	2.378
1492	2.372
1490	2.362
1488	2.349
1486	2.337
1484	2.325
1482	2.309
