	A
	
	H2O.Sample.Raw.csv
3773.58491	3.931
3780.71834	3.931
3787.87879	3.931
3795.06641	3.931
3802.28137	3.931
3809.52381	3.931
3816.79389	3.931
3824.09178	3.931
3831.41762	3.931
3838.77159	3.931
3846.15385	3.931
3853.56455	3.931
3861.00386	3.931
3868.47195	3.931
3875.96899	3.931
3883.49515	3.931
3891.05058	3.931
3898.63548	3.931
3906.25	3.931
3913.89432	3.931
3921.56863	3.931
3929.27308	3.931
3937.00787	3.931
3944.77318	3.931
3952.56917	3.931
3960.39604	3.931
3968.25397	3.931
3976.14314	3.931
3984.06375	3.931
3992.01597	3.931
4000	3.931
4008.01603	3.931
4016.06426	3.931
4024.14487	3.931
4032.25806	3.931
4040.40404	3.931
4048.583	3.931
4056.79513	3.931
4065.04065	3.931
4073.31976	3.931
4081.63265	3.931
4089.97955	3.931
4098.36066	3.931
4106.77618	3.931
4115.22634	3.931
4123.71134	3.931
4132.2314	3.931
4140.78675	3.931
4149.37759	3.931
4158.00416	3.931
4166.66667	3.931
4175.36534	3.931
4184.10042	3.931
4192.87212	3.931
4201.68067	3.931
4210.52632	3.931
4219.40928	3.931
4228.32981	3.931
4237.28814	3.931
4246.2845	3.931
4255.31915	3.931
4264.39232	3.931
4273.50427	3.931
4282.65525	3.931
4291.84549	3.931
4301.07527	3.931
4310.34483	3.931
4319.65443	3.931
4329.00433	3.931
4338.39479	3.931
4347.82609	3.931
4357.29847	3.931
4366.81223	3.931
4376.36761	3.931
4385.96491	3.931
4395.6044	3.931
4405.28634	3.931
4415.01104	3.931
4424.77876	3.931
4434.5898	3.931
4444.44444	3.931
4454.34298	3.931
4464.28571	3.931
4474.27293	3.931
4484.30493	3.931
4494.38202	3.931
4504.5045	3.931
4514.67269	3.931
4524.88688	3.931
4535.14739	3.931
4545.45455	3.931
4555.80866	3.931
4566.21005	3.931
4576.65904	3.931
4587.15596	3.931
4597.70115	3.931
4608.29493	3.931
4618.93764	3.931
4629.62963	3.931
4640.37123	3.931
4651.16279	3.931
4662.00466	3.931
4672.8972	3.931
4683.84075	3.931
4694.83568	3.931
4705.88235	3.931
4716.98113	3.931
4728.13239	3.931
4739.33649	3.931
4750.59382	3.931
4761.90476	3.931
4773.26969	3.931
4784.689	3.931
4796.16307	3.931
4807.69231	3.931
4819.27711	3.931
4830.91787	3.931
4842.61501	3.931
4854.36893	3.931
4866.18005	3.931
4878.04878	3.931
4889.97555	3.931
4901.96078	3.931
4914.00491	3.931
4926.10837	3.931
4938.2716	3.931
4950.49505	3.931
4962.77916	3.931
4975.12438	3.931
4987.53117	3.931
5000	3.931
5012.53133	3.931
5025.12563	3.931
5037.78338	3.931
5050.50505	3.931
5063.29114	3.931
5076.14213	3.931
5089.05852	3.931
5102.04082	3.931
5115.08951	3.931
5128.20513	3.931
5141.38817	3.931
5154.63918	3.931
5167.95866	3.931
5181.34715	3.931
5194.80519	3.931
5208.33333	3.931
5221.93211	3.931
5235.60209	3.931
5249.34383	3.931
5263.15789	3.931
5277.04485	3.931
5291.00529	3.931
5305.03979	3.931
5319.14894	3.931
5333.33333	3.931
5347.59358	3.931
5361.93029	3.931
5376.34409	3.931
5390.83558	3.931
5405.40541	3.931
5420.0542	3.931
5434.78261	3.931
5449.59128	3.931
5464.48087	3.931
5479.45205	3.931
5494.50549	3.931
5509.64187	3.931
5524.86188	3.931
5540.1662	3.931
5555.55556	3.931
5561.73526	3.931
5567.92873	3.931
5574.13601	3.864
5580.35714	3.825
5586.59218	3.766
5592.84116	3.931
5599.10414	3.931
5605.38117	3.931
5611.67228	3.931
5617.97753	3.681
5624.29696	3.764
5630.63063	3.766
5636.97858	3.724
5643.34086	3.677
5649.71751	3.626
5656.1086	3.525
5662.51416	3.547
5668.93424	3.485
5675.3689	3.409
5681.81818	3.379
5688.28214	3.383
5694.76082	3.303
5701.25428	3.237
5707.76256	3.140
5714.28571	3.126
5720.8238	3.063
5727.37686	3.017
5733.94495	2.987
5740.52813	2.934
5747.12644	2.900
5753.73993	2.862
5760.36866	2.839
5767.01269	2.811
5773.67206	2.762
5780.34682	2.746
5787.03704	2.708
5793.74276	2.693
5800.46404	2.655
5807.20093	2.636
5813.95349	2.616
5820.72177	2.597
5827.50583	2.582
5834.30572	2.556
5841.1215	2.546
5847.95322	2.523
5854.80094	2.514
5861.66471	2.500
5868.5446	2.487
5875.44066	2.488
5882.35294	2.477
5889.28151	2.466
5896.22642	2.459
5903.18772	2.457
5910.16548	2.451
5917.15976	2.448
5924.17062	2.444
5931.1981	2.440
5938.24228	2.442
5945.30321	2.439
5952.38095	2.443
5959.47557	2.446
5966.58711	2.449
5973.71565	2.453
5980.86124	2.460
5988.02395	2.464
5995.20384	2.469
6002.40096	2.476
6009.61538	2.483
6016.84717	2.491
6024.09639	2.500
6031.36309	2.508
6038.64734	2.523
6045.94921	2.535
6053.26877	2.548
6060.60606	2.561
6067.96117	2.573
6075.33414	2.590
6082.72506	2.606
6090.13398	2.620
6097.56098	2.637
6105.00611	2.656
6112.46944	2.678
6119.95104	2.695
6127.45098	2.714
6134.96933	2.731
6142.50614	2.758
6150.0615	2.785
6157.63547	2.810
6165.22811	2.833
6172.83951	2.857
6180.46972	2.891
6188.11881	2.919
6195.78686	2.945
6203.47395	2.973
6211.18012	3.007
6218.90547	3.046
6226.65006	3.077
6234.41397	3.101
6242.19725	3.135
6250	3.186
6257.82228	3.224
6265.66416	3.260
6273.52572	3.296
6281.40704	3.340
6289.30818	3.392
6297.22922	3.432
6305.17024	3.479
6313.13131	3.520
6321.11252	3.554
6329.11392	3.622
6337.13561	3.701
6345.17766	3.800
6353.24015	3.931
6361.32316	3.931
6369.42675	3.931
6377.55102	3.931
6385.69604	3.931
6393.86189	3.931
6402.04866	3.931
6410.25641	3.931
6418.48524	3.931
6426.73522	3.931
6435.00644	3.931
6443.29897	3.931
6451.6129	3.931
6459.94832	3.931
6468.3053	3.931
6476.68394	3.931
6485.08431	3.931
6493.50649	3.931
6501.95059	3.931
6510.41667	3.931
6518.90482	3.931
6527.41514	3.931
6535.94771	3.931
6544.50262	3.931
6553.07995	3.931
6561.67979	3.931
6570.30223	3.931
6578.94737	3.931
6587.61528	3.931
6596.30607	3.931
6605.01982	3.931
6613.75661	3.931
6622.51656	3.931
6631.29973	3.931
6640.10624	3.931
6648.93617	3.931
6657.78961	3.931
6666.66667	3.931
6675.56742	3.931
6684.49198	3.931
6693.44043	3.931
6702.41287	3.931
6711.4094	3.931
6720.43011	3.931
6729.4751	3.931
6738.54447	3.931
6747.63833	3.931
6756.75676	3.931
6765.89986	3.931
6775.06775	3.931
6784.26052	3.931
6793.47826	3.931
6802.72109	3.931
6811.9891	3.931
6821.2824	3.931
6830.60109	3.931
6839.94528	3.931
6849.31507	3.931
6858.71056	3.931
6868.13187	3.931
6877.57909	3.931
6887.05234	3.931
6896.55172	3.931
6906.07735	3.931
6915.62932	3.931
6925.20776	3.931
6934.81276	3.931
6944.44444	3.931
6954.10292	3.931
6963.7883	3.931
6973.5007	3.931
6983.24022	3.931
6993.00699	3.931
7002.80112	3.931
7012.62272	3.931
7022.47191	3.931
7032.3488	3.931
7042.25352	3.931
7052.18618	3.931
7062.14689	3.931
7072.13579	3.931
7082.15297	3.931
7092.19858	3.931
7102.27273	3.931
7112.37553	3.931
7122.50712	3.931
7132.66762	3.931
7142.85714	3.931
7153.07582	3.931
7163.32378	3.931
7173.60115	3.729
7183.90805	3.431
7194.2446	3.212
7204.61095	3.000
7215.00722	2.799
7225.43353	2.624
7235.89001	2.467
7246.37681	2.326
7256.89405	2.203
7267.44186	2.093
7278.02038	1.996
7288.62974	1.909
7299.27007	1.832
7309.94152	1.761
7320.64422	1.699
7331.3783	1.643
7342.14391	1.591
7352.94118	1.544
7363.77025	1.501
7374.63127	1.459
7385.52437	1.420
7396.4497	1.380
7407.40741	1.342
7418.39763	1.303
7429.42051	1.263
7440.47619	1.223
7451.56483	1.183
7462.68657	1.143
7473.84155	1.102
7485.02994	1.062
7496.25187	1.021
7507.50751	0.9811
7518.79699	0.9416
7530.12048	0.9030
7541.47813	0.8662
7552.87009	0.8308
7564.29652	0.7972
7575.75758	0.7651
7587.25341	0.7352
7598.78419	0.7068
7610.35008	0.6806
7621.95122	0.6561
7633.58779	0.6338
7645.25994	0.6126
7656.96784	0.5932
7668.71166	0.5753
7680.49155	0.5590
7692.30769	0.5441
7704.16025	0.5304
7716.04938	0.5178
7727.97527	0.5061
7739.93808	0.4957
7751.93798	0.4860
7763.97516	0.4772
7776.04977	0.4693
7788.16199	0.4622
7800.31201	0.4559
7812.5	0.4502
7824.72613	0.4455
7836.9906	0.4414
7849.29356	0.4380
7861.63522	0.4352
7874.01575	0.4332
7886.43533	0.4316
7898.89415	0.4307
7911.39241	0.4303
7923.93027	0.4305
7936.50794	0.4311
7949.1256	0.4320
7961.78344	0.4335
7974.48166	0.4352
7987.22045	0.4372
8000	0.4395
8012.82051	0.4420
8025.68218	0.4447
8038.58521	0.4475
8051.52979	0.4504
8064.51613	0.4533
8077.54443	0.4564
8090.61489	0.4595
8103.72771	0.4627
8116.88312	0.4658
8130.0813	0.4690
8143.32248	0.4722
8156.60685	0.4753
8169.93464	0.4785
8183.30606	0.4816
8196.72131	0.4846
8210.18062	0.4876
8223.68421	0.4906
8237.23229	0.4936
8250.82508	0.4965
8264.46281	0.4993
8278.1457	0.5018
8291.87396	0.5041
8305.64784	0.5061
8319.46755	0.5079
8333.33333	0.5091
8347.24541	0.5099
8361.20401	0.5102
8375.20938	0.5101
8389.26174	0.5095
8403.36134	0.5086
8417.50842	0.5072
8431.7032	0.5057
8445.94595	0.5038
8460.23689	0.5018
8474.57627	0.4998
8488.96435	0.4977
8503.40136	0.4954
8517.88756	0.4932
8532.42321	0.4907
8547.00855	0.4878
8561.64384	0.4845
8576.32933	0.4804
8591.06529	0.4751
8605.85198	0.4683
8620.68966	0.4595
8635.57858	0.4483
8650.51903	0.4343
8665.51127	0.4176
8680.55556	0.3981
8695.65217	0.3759
8710.80139	0.3513
8726.00349	0.3250
8741.25874	0.2975
8756.56743	0.2701
8771.92982	0.2435
8787.34622	0.2181
8802.8169	0.1942
8818.34215	0.1724
8833.92226	0.1530
8849.55752	0.1358
8865.24823	0.1210
8880.99467	0.1084
8896.79715	0.09786
