	A
	
	H2O.Sample.Raw.csv
2650	3.931
2645	3.931
2640	3.931
2635	3.931
2630	3.931
2625	3.931
2620	3.931
2615	3.931
2610	3.931
2605	3.931
2600	3.931
2595	3.931
2590	3.931
2585	3.931
2580	3.931
2575	3.931
2570	3.931
2565	3.931
2560	3.931
2555	3.931
2550	3.931
2545	3.931
2540	3.931
2535	3.931
2530	3.931
2525	3.931
2520	3.931
2515	3.931
2510	3.931
2505	3.931
2500	3.931
2495	3.931
2490	3.931
2485	3.931
2480	3.931
2475	3.931
2470	3.931
2465	3.931
2460	3.931
2455	3.931
2450	3.931
2445	3.931
2440	3.931
2435	3.931
2430	3.931
2425	3.931
2420	3.931
2415	3.931
2410	3.931
2405	3.931
2400	3.931
2395	3.931
2390	3.931
2385	3.931
2380	3.931
2375	3.931
2370	3.931
2365	3.931
2360	3.931
2355	3.931
2350	3.931
2345	3.931
2340	3.931
2335	3.931
2330	3.931
2325	3.931
2320	3.931
2315	3.931
2310	3.931
2305	3.931
2300	3.931
2295	3.931
2290	3.931
2285	3.931
2280	3.931
2275	3.931
2270	3.931
2265	3.931
2260	3.931
2255	3.931
2250	3.931
2245	3.931
2240	3.931
2235	3.931
2230	3.931
2225	3.931
2220	3.931
2215	3.931
2210	3.931
2205	3.931
2200	3.931
2195	3.931
2190	3.931
2185	3.931
2180	3.931
2175	3.931
2170	3.931
2165	3.931
2160	3.931
2155	3.931
2150	3.931
2145	3.931
2140	3.931
2135	3.931
2130	3.931
2125	3.931
2120	3.931
2115	3.931
2110	3.931
2105	3.931
2100	3.931
2095	3.931
2090	3.931
2085	3.931
2080	3.931
2075	3.931
2070	3.931
2065	3.931
2060	3.931
2055	3.931
2050	3.931
2045	3.931
2040	3.931
2035	3.931
2030	3.931
2025	3.931
2020	3.931
2015	3.931
2010	3.931
2005	3.931
2000	3.931
1995	3.931
1990	3.931
1985	3.931
1980	3.931
1975	3.931
1970	3.931
1965	3.931
1960	3.931
1955	3.931
1950	3.931
1945	3.931
1940	3.931
1935	3.931
1930	3.931
1925	3.931
1920	3.931
1915	3.931
1910	3.931
1905	3.931
1900	3.931
1895	3.931
1890	3.931
1885	3.931
1880	3.931
1875	3.931
1870	3.931
1865	3.931
1860	3.931
1855	3.931
1850	3.931
1845	3.931
1840	3.931
1835	3.931
1830	3.931
1825	3.931
1820	3.931
1815	3.931
1810	3.931
1805	3.931
1800	3.931
1798	3.931
1796	3.931
1794	3.864
1792	3.825
1790	3.766
1788	3.931
1786	3.931
1784	3.931
1782	3.931
1780	3.681
1778	3.764
1776	3.766
1774	3.724
1772	3.677
1770	3.626
1768	3.525
1766	3.547
1764	3.485
1762	3.409
1760	3.379
1758	3.383
1756	3.303
1754	3.237
1752	3.140
1750	3.126
1748	3.063
1746	3.017
1744	2.987
1742	2.934
1740	2.900
1738	2.862
1736	2.839
1734	2.811
1732	2.762
1730	2.746
1728	2.708
1726	2.693
1724	2.655
1722	2.636
1720	2.616
1718	2.597
1716	2.582
1714	2.556
1712	2.546
1710	2.523
1708	2.514
1706	2.500
1704	2.487
1702	2.488
1700	2.477
1698	2.466
1696	2.459
1694	2.457
1692	2.451
1690	2.448
1688	2.444
1686	2.440
1684	2.442
1682	2.439
1680	2.443
1678	2.446
1676	2.449
1674	2.453
1672	2.460
1670	2.464
1668	2.469
1666	2.476
1664	2.483
1662	2.491
1660	2.500
1658	2.508
1656	2.523
1654	2.535
1652	2.548
1650	2.561
1648	2.573
1646	2.590
1644	2.606
1642	2.620
1640	2.637
1638	2.656
1636	2.678
1634	2.695
1632	2.714
1630	2.731
1628	2.758
1626	2.785
1624	2.810
1622	2.833
1620	2.857
1618	2.891
1616	2.919
1614	2.945
1612	2.973
1610	3.007
1608	3.046
1606	3.077
1604	3.101
1602	3.135
1600	3.186
1598	3.224
1596	3.260
1594	3.296
1592	3.340
1590	3.392
1588	3.432
1586	3.479
1584	3.520
1582	3.554
1580	3.622
1578	3.701
1576	3.800
1574	3.931
1572	3.931
1570	3.931
1568	3.931
1566	3.931
1564	3.931
1562	3.931
1560	3.931
1558	3.931
1556	3.931
1554	3.931
1552	3.931
1550	3.931
1548	3.931
1546	3.931
1544	3.931
1542	3.931
1540	3.931
1538	3.931
1536	3.931
1534	3.931
1532	3.931
1530	3.931
1528	3.931
1526	3.931
1524	3.931
1522	3.931
1520	3.931
1518	3.931
1516	3.931
1514	3.931
1512	3.931
1510	3.931
1508	3.931
1506	3.931
1504	3.931
1502	3.931
1500	3.931
1498	3.931
1496	3.931
1494	3.931
1492	3.931
1490	3.931
1488	3.931
1486	3.931
1484	3.931
1482	3.931
1480	3.931
1478	3.931
1476	3.931
1474	3.931
1472	3.931
1470	3.931
1468	3.931
1466	3.931
1464	3.931
1462	3.931
1460	3.931
1458	3.931
1456	3.931
1454	3.931
1452	3.931
1450	3.931
1448	3.931
1446	3.931
1444	3.931
1442	3.931
1440	3.931
1438	3.931
1436	3.931
1434	3.931
1432	3.931
1430	3.931
1428	3.931
1426	3.931
1424	3.931
1422	3.931
1420	3.931
1418	3.931
1416	3.931
1414	3.931
1412	3.931
1410	3.931
1408	3.931
1406	3.931
1404	3.931
1402	3.931
1400	3.931
1398	3.931
1396	3.931
1394	3.729
1392	3.431
1390	3.212
1388	3.000
1386	2.799
1384	2.624
1382	2.467
1380	2.326
1378	2.203
1376	2.093
1374	1.996
1372	1.909
1370	1.832
1368	1.761
1366	1.699
1364	1.643
1362	1.591
1360	1.544
1358	1.501
1356	1.459
1354	1.420
1352	1.380
1350	1.342
1348	1.303
1346	1.263
1344	1.223
1342	1.183
1340	1.143
1338	1.102
1336	1.062
1334	1.021
1332	0.9811
1330	0.9416
1328	0.9030
1326	0.8662
1324	0.8308
1322	0.7972
1320	0.7651
1318	0.7352
1316	0.7068
1314	0.6806
1312	0.6561
1310	0.6338
1308	0.6126
1306	0.5932
1304	0.5753
1302	0.5590
1300	0.5441
1298	0.5304
1296	0.5178
1294	0.5061
1292	0.4957
1290	0.4860
1288	0.4772
1286	0.4693
1284	0.4622
1282	0.4559
1280	0.4502
1278	0.4455
1276	0.4414
1274	0.4380
1272	0.4352
1270	0.4332
1268	0.4316
1266	0.4307
1264	0.4303
1262	0.4305
1260	0.4311
1258	0.4320
1256	0.4335
1254	0.4352
1252	0.4372
1250	0.4395
1248	0.4420
1246	0.4447
1244	0.4475
1242	0.4504
1240	0.4533
1238	0.4564
1236	0.4595
1234	0.4627
1232	0.4658
1230	0.4690
1228	0.4722
1226	0.4753
1224	0.4785
1222	0.4816
1220	0.4846
1218	0.4876
1216	0.4906
1214	0.4936
1212	0.4965
1210	0.4993
1208	0.5018
1206	0.5041
1204	0.5061
1202	0.5079
1200	0.5091
1198	0.5099
1196	0.5102
1194	0.5101
1192	0.5095
1190	0.5086
1188	0.5072
1186	0.5057
1184	0.5038
1182	0.5018
1180	0.4998
1178	0.4977
1176	0.4954
1174	0.4932
1172	0.4907
1170	0.4878
1168	0.4845
1166	0.4804
1164	0.4751
1162	0.4683
1160	0.4595
1158	0.4483
1156	0.4343
1154	0.4176
1152	0.3981
1150	0.3759
1148	0.3513
1146	0.3250
1144	0.2975
1142	0.2701
1140	0.2435
1138	0.2181
1136	0.1942
1134	0.1724
1132	0.1530
1130	0.1358
1128	0.1210
1126	0.1084
1124	0.09786
1122	0.08908
1120	0.08185
1118	0.07587
1116	0.07082
1114	0.06647
1112	0.06274
1110	0.05934
1108	0.05622
1106	0.05329
1104	0.05050
1102	0.04789
1100	0.04532
1098	0.04282
1096	0.04048
1094	0.03821
1092	0.03600
1090	0.03401
1088	0.03219
1086	0.03046
1084	0.02895
1082	0.02757
1080	0.02641
1078	0.02551
1076	0.02476
1074	0.02419
1072	0.02370
1070	0.02356
1068	0.02369
1066	0.02396
1064	0.02440
1062	0.02508
1060	0.02586
1058	0.02691
1056	0.02826
1054	0.02975
1052	0.03138
1050	0.03332
1048	0.03544
1046	0.03779
1044	0.04041
1042	0.04317
1040	0.04608
1038	0.04932
1036	0.05275
1034	0.05633
1032	0.06008
1030	0.06412
1028	0.06826
1026	0.07247
1024	0.07687
1022	0.08155
1020	0.08611
1018	0.09082
1016	0.09568
1014	0.1005
1012	0.1055
1010	0.1103
1008	0.1153
1006	0.1202
1004	0.1249
1002	0.1297
1000	0.1342
998	0.1387
996	0.1431
994	0.1472
992	0.1511
990	0.1548
988	0.1581
986	0.1612
984	0.1638
982	0.1661
980	0.1679
978	0.1691
976	0.1700
974	0.1703
972	0.1700
970	0.1688
968	0.1669
966	0.1638
964	0.1595
962	0.1542
960	0.1475
958	0.1395
956	0.1306
954	0.1209
952	0.1106
950	0.1001
948	0.08946
946	0.07929
944	0.06952
942	0.06066
940	0.05244
938	0.04485
936	0.03807
934	0.03187
932	0.02626
930	0.02135
928	0.01692
926	0.01285
924	0.009311
922	0.006216
920	0.003504
918	0.001118
916	-0.001057
914	-0.002719
912	-0.004130
910	-0.005475
908	-0.006554
906	-0.007376
904	-0.008226
902	-0.008954
900	-0.009579
898	-0.009938
896	-0.01061
894	-0.01119
892	-0.01139
890	-0.01219
888	-0.01278
886	-0.01325
884	-0.01365
882	-0.01421
880	-0.01474
878	-0.01506
876	-0.01542
874	-0.01600
872	-0.01636
870	-0.01672
868	-0.01711
866	-0.01737
864	-0.01771
862	-0.01773
860	-0.02679
858	-0.01722
856	-0.01779
854	-0.01716
852	-0.01804
850	-0.01908
848	-0.01800
846	-0.01847
844	-0.01906
842	-0.01942
840	-0.01968
838	-0.01995
836	-0.02014
834	-0.02085
832	-0.02100
830	-0.02266
828	-0.02343
826	-0.02520
824	-0.02524
822	-0.02596
820	-0.02593
818	-0.02681
816	-0.02686
814	-0.02717
812	-0.02703
810	-0.02701
808	-0.02724
806	-0.02687
804	-0.02702
802	-0.02664
800	-0.02701
798	-0.02655
796	-0.02640
794	-0.02648
792	-0.02639
790	-0.02589
788	-0.02567
786	-0.02553
784	-0.02534
782	-0.02505
780	-0.02487
778	-0.02470
776	-0.02467
774	-0.02452
772	-0.02442
770	-0.02435
768	-0.02442
766	-0.02424
764	-0.02398
762	-0.02381
760	-0.02387
758	-0.02412
756	-0.02421
754	-0.02406
752	-0.02401
750	-0.02384
748	-0.02403
746	-0.02402
744	-0.02426
742	-0.02445
740	-0.02430
738	-0.02442
736	-0.02503
