	A
	
	MeCN.Sample.Raw.csv
3773.58491	0.7207
3780.71834	0.7084
3787.87879	0.7083
3795.06641	0.7147
3802.28137	0.7411
3809.52381	0.7798
3816.79389	0.7995
3824.09178	0.8382
3831.41762	0.8994
3838.77159	0.9942
3846.15385	1.112
3853.56455	1.135
3861.00386	1.207
3868.47195	1.456
3875.96899	1.567
3883.49515	1.673
3891.05058	1.781
3898.63548	2.065
3906.25	2.244
3913.89432	2.115
3921.56863	3.047
3929.27308	3.000
3937.00787	3.000
3944.77318	3.000
3952.56917	3.000
3960.39604	3.000
3968.25397	3.000
3976.14314	3.000
3984.06375	3.000
3992.01597	3.000
4000	3.000
4008.01603	3.000
4016.06426	3.000
4024.14487	3.000
4032.25806	3.000
4040.40404	3.000
4048.583	3.000
4056.79513	3.000
4065.04065	3.000
4073.31976	3.000
4081.63265	3.000
4089.97955	3.000
4098.36066	3.000
4106.77618	3.000
4115.22634	3.000
4123.71134	3.000
4132.2314	3.000
4140.78675	2.221
4149.37759	2.399
4158.00416	2.129
4166.66667	2.013
4175.36534	1.944
4184.10042	1.942
4192.87212	1.847
4201.68067	1.876
4210.52632	1.777
4219.40928	1.826
4228.32981	1.744
4237.28814	1.805
4246.2845	1.931
4255.31915	1.945
4264.39232	2.074
4273.50427	3.000
4282.65525	3.000
4291.84549	3.000
4301.07527	3.000
4310.34483	3.000
4319.65443	3.000
4329.00433	3.000
4338.39479	3.000
4347.82609	3.000
4357.29847	2.758
4366.81223	2.429
4376.36761	3.000
4385.96491	3.000
4395.6044	3.000
4405.28634	3.000
4415.01104	3.198
4424.77876	3.000
4434.5898	3.000
4444.44444	2.594
4454.34298	3.000
4464.28571	3.000
4474.27293	3.000
4484.30493	3.000
4494.38202	3.000
4504.5045	2.785
4514.67269	2.818
4524.88688	2.045
4535.14739	1.787
4545.45455	1.558
4555.80866	1.362
4566.21005	1.275
4576.65904	1.118
4587.15596	0.9588
4597.70115	0.8488
4608.29493	0.7640
4618.93764	0.6919
4629.62963	0.6367
4640.37123	0.5776
4651.16279	0.5471
4662.00466	0.4997
4672.8972	0.4638
4683.84075	0.4404
4694.83568	0.4333
4705.88235	0.4277
4716.98113	0.3796
4728.13239	0.3614
4739.33649	0.3634
4750.59382	0.3725
4761.90476	0.3816
4773.26969	0.4092
4784.689	0.4152
4796.16307	0.3528
4807.69231	0.2949
4819.27711	0.2654
4830.91787	0.2317
4842.61501	0.2041
4854.36893	0.1863
4866.18005	0.1777
4878.04878	0.1743
4889.97555	0.1750
4901.96078	0.1754
4914.00491	0.1838
4926.10837	0.2157
4938.2716	0.2964
4950.49505	0.4045
4962.77916	0.3834
4975.12438	0.4349
4987.53117	0.6462
5000	0.8837
5012.53133	0.5785
5025.12563	0.3742
5037.78338	0.3617
5050.50505	0.4335
5063.29114	0.5241
5076.14213	0.5001
5089.05852	0.3895
5102.04082	0.3117
5115.08951	0.2714
5128.20513	0.2620
5141.38817	0.2760
5154.63918	0.3080
5167.95866	0.3703
5181.34715	0.6131
5194.80519	1.489
5208.33333	1.104
5221.93211	0.6842
5235.60209	0.8194
5249.34383	1.220
5263.15789	1.245
5277.04485	0.9159
5291.00529	0.7464
5305.03979	0.5946
5319.14894	0.5004
5333.33333	0.4619
5347.59358	0.4530
5361.93029	0.4950
5376.34409	0.6109
5390.83558	0.6581
5405.40541	0.5093
5420.0542	0.4564
5434.78261	0.4453
5449.59128	0.4145
5464.48087	0.3914
5479.45205	0.3185
5494.50549	0.2349
5509.64187	0.1908
5524.86188	0.1682
5540.1662	0.1548
5555.55556	0.1864
5561.73526	0.1882
5567.92873	0.1909
5574.13601	0.1950
5580.35714	0.2002
5586.59218	0.2068
5592.84116	0.2153
5599.10414	0.2261
5605.38117	0.2400
5611.67228	0.2576
5617.97753	0.2799
5624.29696	0.3081
5630.63063	0.3426
5636.97858	0.3848
5643.34086	0.4351
5649.71751	0.4941
5656.1086	0.5622
5662.51416	0.6397
5668.93424	0.7250
5675.3689	0.8151
5681.81818	0.9067
5688.28214	0.9962
5694.76082	1.079
5701.25428	1.152
5707.76256	1.209
5714.28571	1.250
5720.8238	1.277
5727.37686	1.298
5733.94495	1.322
5740.52813	1.354
5747.12644	1.394
5753.73993	1.444
5760.36866	1.506
5767.01269	1.582
5773.67206	1.675
5780.34682	1.790
5787.03704	1.926
5793.74276	2.087
5800.46404	2.266
5807.20093	2.463
5813.95349	2.674
5820.72177	2.841
5827.50583	2.850
5834.30572	2.697
5841.1215	2.474
5847.95322	2.252
5854.80094	2.061
5861.66471	1.896
5868.5446	1.757
5875.44066	1.644
5882.35294	1.555
5889.28151	1.488
5896.22642	1.443
5903.18772	1.419
5910.16548	1.414
5917.15976	1.431
5924.17062	1.467
5931.1981	1.523
5938.24228	1.594
5945.30321	1.673
5952.38095	1.744
5959.47557	1.779
5966.58711	1.749
5973.71565	1.653
5980.86124	1.518
5988.02395	1.372
5995.20384	1.237
6002.40096	1.115
6009.61538	1.004
6016.84717	0.9058
6024.09639	0.8194
6031.36309	0.7453
6038.64734	0.6820
6045.94921	0.6268
6053.26877	0.5787
6060.60606	0.5359
6067.96117	0.4972
6075.33414	0.4613
6082.72506	0.4273
6090.13398	0.3944
6097.56098	0.3628
6105.00611	0.3325
6112.46944	0.3035
6119.95104	0.2762
6127.45098	0.2512
6134.96933	0.2290
6142.50614	0.2095
6150.0615	0.1924
6157.63547	0.1780
6165.22811	0.1659
6172.83951	0.1555
6180.46972	0.1470
6188.11881	0.1399
6195.78686	0.1339
6203.47395	0.1291
6211.18012	0.1259
6218.90547	0.1244
6226.65006	0.1246
6234.41397	0.1262
6242.19725	0.1288
6250	0.1323
6257.82228	0.1358
6265.66416	0.1390
6273.52572	0.1409
6281.40704	0.1408
6289.30818	0.1380
6297.22922	0.1328
6305.17024	0.1257
6313.13131	0.1173
6321.11252	0.1081
6329.11392	0.09866
6337.13561	0.08934
6345.17766	0.08046
6353.24015	0.07242
6361.32316	0.06541
6369.42675	0.05939
6377.55102	0.05407
6385.69604	0.04932
6393.86189	0.04519
6402.04866	0.04170
6410.25641	0.03883
6418.48524	0.03646
6426.73522	0.03450
6435.00644	0.03291
6443.29897	0.03156
6451.6129	0.03046
6459.94832	0.02946
6468.3053	0.02852
6476.68394	0.02778
6485.08431	0.02709
6493.50649	0.02636
6501.95059	0.02584
6510.41667	0.02544
6518.90482	0.02514
6527.41514	0.02489
6535.94771	0.02466
6544.50262	0.02454
6553.07995	0.02439
6561.67979	0.02426
6570.30223	0.02420
6578.94737	0.02414
6587.61528	0.02416
6596.30607	0.02431
6605.01982	0.02467
6613.75661	0.02526
6622.51656	0.02611
6631.29973	0.02734
6640.10624	0.02895
6648.93617	0.03078
6657.78961	0.03292
6666.66667	0.03542
6675.56742	0.03814
6684.49198	0.04096
6693.44043	0.04376
6702.41287	0.04639
6711.4094	0.04897
6720.43011	0.05138
6729.4751	0.05374
6738.54447	0.05605
6747.63833	0.05860
6756.75676	0.06155
6765.89986	0.06527
6775.06775	0.06993
6784.26052	0.07581
6793.47826	0.08288
6802.72109	0.09078
6811.9891	0.09913
6821.2824	0.1072
6830.60109	0.1143
6839.94528	0.1196
6849.31507	0.1225
6858.71056	0.1223
6868.13187	0.1190
6877.57909	0.1130
6887.05234	0.1049
6896.55172	0.09565
6906.07735	0.08608
6915.62932	0.07708
6925.20776	0.06915
6934.81276	0.06288
6944.44444	0.05869
6954.10292	0.05667
6963.7883	0.05691
6973.5007	0.05885
6983.24022	0.06209
6993.00699	0.06613
7002.80112	0.07060
7012.62272	0.07531
7022.47191	0.07953
7032.3488	0.08310
7042.25352	0.08552
7052.18618	0.08724
7062.14689	0.08850
7072.13579	0.09002
7082.15297	0.09216
7092.19858	0.09562
7102.27273	0.1010
7112.37553	0.1090
7122.50712	0.1208
7132.66762	0.1370
7142.85714	0.1576
7153.07582	0.1820
7163.32378	0.2106
7173.60115	0.2424
7183.90805	0.2762
7194.2446	0.3103
7204.61095	0.3433
7215.00722	0.3720
7225.43353	0.3952
7235.89001	0.4116
7246.37681	0.4207
7256.89405	0.4216
7267.44186	0.4150
7278.02038	0.4018
7288.62974	0.3839
7299.27007	0.3629
7309.94152	0.3397
7320.64422	0.3149
7331.3783	0.2895
7342.14391	0.2653
7352.94118	0.2432
7363.77025	0.2234
7374.63127	0.2048
7385.52437	0.1872
7396.4497	0.1701
7407.40741	0.1535
7418.39763	0.1372
7429.42051	0.1211
7440.47619	0.1048
7451.56483	0.08852
7462.68657	0.07311
7473.84155	0.05927
7485.02994	0.04714
7496.25187	0.03709
7507.50751	0.02880
7518.79699	0.02226
7530.12048	0.01748
7541.47813	0.01419
7552.87009	0.01182
7564.29652	0.01039
7575.75758	0.009289
7587.25341	0.008668
7598.78419	0.008199
7610.35008	0.008020
7621.95122	0.008042
7633.58779	0.008173
7645.25994	0.008380
7656.96784	0.008733
7668.71166	0.009056
7680.49155	0.009328
7692.30769	0.009657
7704.16025	0.009865
7716.04938	0.01010
7727.97527	0.01016
7739.93808	0.01038
7751.93798	0.01059
7763.97516	0.01095
7776.04977	0.01129
7788.16199	0.01167
7800.31201	0.01219
7812.5	0.01249
7824.72613	0.01291
7836.9906	0.01320
7849.29356	0.01323
7861.63522	0.01310
7874.01575	0.01275
7886.43533	0.01213
7898.89415	0.01156
7911.39241	0.01090
7923.93027	0.01054
7936.50794	0.01027
7949.1256	0.01029
7961.78344	0.01090
7974.48166	0.01186
7987.22045	0.01322
8000	0.01497
8012.82051	0.01691
8025.68218	0.01882
8038.58521	0.02066
8051.52979	0.02219
8064.51613	0.02334
8077.54443	0.02407
8090.61489	0.02449
8103.72771	0.02475
8116.88312	0.02499
8130.0813	0.02542
8143.32248	0.02610
8156.60685	0.02694
8169.93464	0.02796
8183.30606	0.02898
8196.72131	0.02994
8210.18062	0.03057
8223.68421	0.03085
8237.23229	0.03050
8250.82508	0.02981
8264.46281	0.02876
8278.1457	0.02765
8291.87396	0.02680
8305.64784	0.02637
8319.46755	0.02659
8333.33333	0.02764
8347.24541	0.02989
8361.20401	0.03370
8375.20938	0.03944
8389.26174	0.04770
8403.36134	0.05917
8417.50842	0.07427
8431.7032	0.09304
8445.94595	0.1154
8460.23689	0.1409
8474.57627	0.1689
8488.96435	0.1987
8503.40136	0.2289
8517.88756	0.2568
8532.42321	0.2796
8547.00855	0.2955
8561.64384	0.3035
8576.32933	0.3034
8591.06529	0.2956
8605.85198	0.2804
8620.68966	0.2595
8635.57858	0.2351
8650.51903	0.2097
8665.51127	0.1856
8680.55556	0.1637
8695.65217	0.1440
8710.80139	0.1271
8726.00349	0.1133
8741.25874	0.1026
8756.56743	0.09438
8771.92982	0.08801
8787.34622	0.08258
8802.8169	0.07732
8818.34215	0.07185
8833.92226	0.06605
8849.55752	0.05990
8865.24823	0.05356
8880.99467	0.04711
8896.79715	0.04093
8912.65597	0.03529
8928.57143	0.03019
8944.54383	0.02584
8960.57348	0.02208
8976.66068	0.01885
8992.80576	0.01611
9009.00901	0.01367
9025.27076	0.01163
9041.59132	0.009849
9057.97101	0.008347
9074.41016	0.007105
9090.90909	0.006069
9107.46812	0.005201
9124.08759	0.004579
9140.76782	0.003951
9157.50916	0.003401
9174.31193	0.002975
9191.17647	0.002634
9208.10313	0.002328
9225.09225	0.001985
9242.14418	0.001725
9259.25926	0.001585
9276.43785	0.001495
9293.6803	0.001290
9310.98696	0.001178
9328.35821	0.001153
9345.79439	0.001157
9363.29588	0.001256
9380.86304	0.001591
9398.49624	0.001966
9416.19586	0.002471
9433.96226	0.003002
9451.79584	0.003676
9469.69697	0.004487
9487.66603	0.005295
9505.70342	0.005959
9523.80952	0.006549
9541.98473	0.007030
9560.22945	0.007197
9578.54406	0.007304
9596.92898	0.007150
9615.38462	0.006881
9633.91137	0.006480
9652.50965	0.006012
9671.17988	0.005523
9689.92248	0.005239
9708.73786	0.005218
9727.62646	0.005315
9746.58869	0.005669
9765.625	0.006348
9784.73581	0.007370
9803.92157	0.008618
9823.18271	0.01018
9842.51969	0.01199
9861.93294	0.01367
9881.42292	0.01527
9900.9901	0.01663
9920.63492	0.01782
9940.35785	0.01847
9960.15936	0.01855
9980.03992	0.01834
10000	0.01751
10020.04008	0.01637
10040.16064	0.01497
10060.36217	0.01334
10080.64516	0.01192
10101.0101	0.01039
10121.45749	0.008862
10141.98783	0.007630
10162.60163	0.006524
10183.29939	0.005664
10204.08163	0.004922
10224.94888	0.004165
10245.90164	0.003505
10266.94045	0.003043
10288.06584	0.002557
10309.27835	0.002003
10330.57851	0.001641
10351.96687	0.001308
10373.44398	0.001001
10395.0104	8.530E-4
10416.66667	8.080E-4
10438.41336	5.600E-4
10460.25105	5.720E-4
10482.18029	5.680E-4
10504.20168	4.920E-4
10526.31579	5.420E-4
10548.52321	3.830E-4
10570.82452	3.400E-4
10593.22034	5.320E-4
10615.71125	5.590E-4
10638.29787	5.060E-4
10660.98081	6.300E-4
10683.76068	7.000E-4
10706.63812	7.250E-4
10729.61373	8.570E-4
10752.68817	0.001162
10775.86207	0.001371
10799.13607	0.001558
10822.51082	0.001834
10845.98698	0.002285
10869.56522	0.002527
10893.24619	0.002809
10917.03057	0.003279
10940.91904	0.003962
10964.91228	0.004877
10989.01099	0.006241
11013.21586	0.007847
11037.52759	0.009776
11061.9469	0.01219
11086.4745	0.01471
11111.11111	0.01725
11135.85746	0.01959
11160.71429	0.02110
11185.68233	0.02258
11210.76233	0.02304
11235.95506	0.02220
11261.26126	0.02120
11286.68172	0.01925
11312.21719	0.01697
11337.86848	0.01452
11363.63636	0.01199
11389.52164	0.009750
11415.52511	0.007797
11441.6476	0.006289
11467.88991	0.005430
11494.25287	0.004549
11520.73733	0.003776
11547.34411	0.003844
11574.07407	0.003429
11600.92807	0.003262
11627.90698	-0.004517
11655.01166	0.002128
11682.24299	6.720E-4
11709.60187	0.001604
11737.0892	3.320E-4
11764.70588	1.370E-4
11792.45283	-3.010E-4
11820.33097	4.440E-4
11848.34123	1.100E-4
11876.48456	-7.900E-5
11904.7619	-2.600E-4
11933.17422	7.940E-4
11961.72249	5.700E-5
11990.40767	-4.310E-4
12019.23077	3.000E-5
12048.19277	-2.490E-4
12077.29469	5.030E-4
12106.53753	6.400E-5
12135.92233	9.170E-4
12165.45012	3.560E-4
12195.12195	0.001258
12224.93888	9.770E-4
12254.90196	3.750E-4
12285.01229	-2.560E-4
12315.27094	-1.000E-4
12345.67901	4.500E-4
12376.23762	1.990E-4
12406.94789	5.170E-4
12437.81095	8.840E-4
12468.82793	8.450E-4
12500	0.001019
12531.32832	0.001777
12562.81407	0.001569
12594.45844	9.710E-4
12626.26263	6.600E-4
12658.22785	4.350E-4
12690.35533	3.860E-4
12722.64631	1.820E-4
12755.10204	1.750E-4
12787.72379	2.020E-4
12820.51282	2.080E-4
12853.47044	-1.420E-4
12886.59794	-1.290E-4
12919.89664	-2.620E-4
12953.36788	-1.200E-4
12987.01299	-1.350E-4
13020.83333	-3.670E-4
13054.83029	-2.100E-4
13089.00524	-2.960E-4
13123.35958	-2.000E-5
13157.89474	-2.260E-4
13192.61214	-2.100E-4
13227.51323	-1.890E-4
13262.59947	-1.530E-4
13297.87234	-2.170E-4
13333.33333	2.000E-5
13368.98396	-8.600E-5
13404.82574	1.930E-4
13440.86022	-3.100E-5
13477.08895	-7.500E-5
13513.51351	1.610E-4
13550.1355	6.340E-4
13586.95652	0.001064
13623.9782	0.002057
13661.20219	0.002813
13698.63014	0.003105
13736.26374	0.002983
13774.10468	0.002109
13812.1547	0.001498
13850.41551	8.730E-4
13888.88889	5.530E-4
13927.5766	2.350E-4
13966.48045	1.590E-4
14005.60224	2.170E-4
14044.94382	1.510E-4
14084.50704	8.900E-5
14124.29379	1.030E-4
14164.30595	2.460E-4
14204.54545	1.500E-5
14245.01425	-3.100E-5
14285.71429	6.000E-6
14326.64756	-8.900E-5
14367.81609	-9.800E-5
14409.2219	1.000E-6
14450.86705	-1.170E-4
14492.75362	-8.600E-5
14534.88372	2.600E-5
14577.25948	1.400E-5
14619.88304	2.820E-4
14662.7566	2.690E-4
14705.88235	6.900E-5
14749.26254	9.600E-5
14792.89941	1.200E-5
14836.79525	1.100E-5
14880.95238	-1.200E-4
14925.37313	-1.590E-4
14970.05988	3.000E-6
15015.01502	4.900E-5
15060.24096	7.300E-5
15105.74018	7.200E-5
15151.51515	6.100E-5
15197.56839	-4.300E-5
15243.90244	-1.990E-4
15290.51988	-9.500E-5
15337.42331	5.300E-5
15384.61538	2.240E-4
15432.09877	1.190E-4
15479.87616	1.150E-4
15527.95031	2.870E-4
15576.32399	2.240E-4
15625	6.600E-5
15673.98119	2.800E-5
15723.27044	8.800E-5
15772.87066	1.930E-4
15822.78481	3.260E-4
15873.01587	2.610E-4
15923.56688	1.960E-4
15974.44089	2.580E-4
16025.64103	4.730E-4
16077.17042	5.410E-4
16129.03226	5.320E-4
16181.22977	5.360E-4
16233.76623	4.170E-4
16286.64495	3.650E-4
16339.86928	3.440E-4
16393.44262	1.790E-4
16447.36842	2.500E-4
16501.65017	3.150E-4
16556.29139	1.900E-4
16611.29568	3.380E-4
16666.66667	3.990E-4
16722.40803	2.710E-4
16778.52349	3.870E-4
16835.01684	3.970E-4
16891.89189	4.540E-4
16949.15254	5.750E-4
17006.80272	5.970E-4
17064.84642	4.620E-4
17123.28767	3.220E-4
17182.13058	3.080E-4
17241.37931	3.580E-4
17301.03806	3.890E-4
17361.11111	5.110E-4
17421.60279	5.170E-4
17482.51748	3.070E-4
17543.85965	3.790E-4
17605.6338	4.410E-4
17667.84452	2.930E-4
17730.49645	4.110E-4
17793.59431	5.930E-4
17857.14286	6.770E-4
17921.14695	5.540E-4
17985.61151	4.610E-4
18050.54152	4.380E-4
18115.94203	4.710E-4
18181.81818	5.750E-4
18248.17518	6.120E-4
18315.01832	7.160E-4
18382.35294	6.410E-4
18450.1845	6.440E-4
18518.51852	7.490E-4
18587.36059	6.730E-4
18656.71642	6.610E-4
18726.59176	6.580E-4
18796.99248	7.890E-4
18867.92453	8.060E-4
18939.39394	7.580E-4
19011.40684	8.650E-4
19083.96947	9.040E-4
19157.08812	8.250E-4
19230.76923	8.810E-4
19305.01931	9.560E-4
19379.84496	8.850E-4
19455.25292	9.250E-4
19531.25	8.180E-4
19607.84314	9.300E-4
19685.03937	0.001077
19762.84585	0.001190
19841.26984	0.001107
19920.31873	0.001033
20000	8.760E-4
20080.32129	0.001167
20161.29032	0.001264
20242.91498	0.001343
20325.20325	0.001283
20408.16327	0.001054
20491.80328	0.001150
20576.13169	0.001326
20661.15702	0.001376
20746.88797	0.001221
20833.33333	0.001553
20920.50209	0.001584
21008.40336	0.001460
21097.04641	0.001518
21186.44068	0.001315
21276.59574	0.001409
21367.52137	0.001552
21459.22747	0.001354
21551.72414	0.001314
21645.02165	0.001495
21739.13043	0.001475
21834.06114	0.001366
21929.82456	0.001361
22026.43172	0.001289
22123.89381	0.001688
22222.22222	0.001603
22321.42857	0.001602
22421.52466	0.001858
22522.52252	0.001631
22624.43439	0.001540
22727.27273	0.001618
22831.05023	0.001522
22935.77982	0.001596
23041.47465	0.001637
23148.14815	0.001889
23255.81395	0.001804
23364.48598	0.001829
23474.1784	0.001912
23584.90566	0.001800
23696.68246	0.002033
23809.52381	0.002227
23923.44498	0.002161
24038.46154	0.001878
24154.58937	0.002223
24271.84466	0.002156
24390.2439	0.002177
24509.80392	0.002306
24630.54187	0.002363
24752.47525	0.002351
24875.62189	0.002376
25000	0.002232
25125.62814	0.002571
25252.52525	0.002371
25380.71066	0.002454
25510.20408	0.002376
25641.02564	0.002526
25773.19588	0.002544
25906.73575	0.002541
26041.66667	0.002376
26178.01047	0.002607
26315.78947	0.002531
26455.02646	0.002873
26595.74468	0.003324
26737.96791	0.002802
26881.72043	0.003211
27027.02703	0.002857
27173.91304	0.002960
27322.40437	0.003195
27472.52747	0.003246
27624.30939	0.003317
27777.77778	0.003416
27932.96089	0.003307
28089.88764	0.003637
28248.58757	0.003352
28409.09091	0.003738
28571.42857	0.003605
28735.63218	0.003791
28901.7341	0.004049
29069.76744	0.004018
29239.76608	0.004068
29411.76471	0.004176
29585.79882	0.004220
29761.90476	0.004223
29940.11976	0.004290
30120.48193	0.004635
30303.0303	0.004480
30487.80488	0.005192
30674.84663	0.004997
30864.19753	0.004820
