	A
	
	MeCN.Sample.Raw.csv
2650	0.7207
2645	0.7084
2640	0.7083
2635	0.7147
2630	0.7411
2625	0.7798
2620	0.7995
2615	0.8382
2610	0.8994
2605	0.9942
2600	1.112
2595	1.135
2590	1.207
2585	1.456
2580	1.567
2575	1.673
2570	1.781
2565	2.065
2560	2.244
2555	2.115
2550	3.047
2545	3.000
2540	3.000
2535	3.000
2530	3.000
2525	3.000
2520	3.000
2515	3.000
2510	3.000
2505	3.000
2500	3.000
2495	3.000
2490	3.000
2485	3.000
2480	3.000
2475	3.000
2470	3.000
2465	3.000
2460	3.000
2455	3.000
2450	3.000
2445	3.000
2440	3.000
2435	3.000
2430	3.000
2425	3.000
2420	3.000
2415	2.221
2410	2.399
2405	2.129
2400	2.013
2395	1.944
2390	1.942
2385	1.847
2380	1.876
2375	1.777
2370	1.826
2365	1.744
2360	1.805
2355	1.931
2350	1.945
2345	2.074
2340	3.000
2335	3.000
2330	3.000
2325	3.000
2320	3.000
2315	3.000
2310	3.000
2305	3.000
2300	3.000
2295	2.758
2290	2.429
2285	3.000
2280	3.000
2275	3.000
2270	3.000
2265	3.198
2260	3.000
2255	3.000
2250	2.594
2245	3.000
2240	3.000
2235	3.000
2230	3.000
2225	3.000
2220	2.785
2215	2.818
2210	2.045
2205	1.787
2200	1.558
2195	1.362
2190	1.275
2185	1.118
2180	0.9588
2175	0.8488
2170	0.7640
2165	0.6919
2160	0.6367
2155	0.5776
2150	0.5471
2145	0.4997
2140	0.4638
2135	0.4404
2130	0.4333
2125	0.4277
2120	0.3796
2115	0.3614
2110	0.3634
2105	0.3725
2100	0.3816
2095	0.4092
2090	0.4152
2085	0.3528
2080	0.2949
2075	0.2654
2070	0.2317
2065	0.2041
2060	0.1863
2055	0.1777
2050	0.1743
2045	0.1750
2040	0.1754
2035	0.1838
2030	0.2157
2025	0.2964
2020	0.4045
2015	0.3834
2010	0.4349
2005	0.6462
2000	0.8837
1995	0.5785
1990	0.3742
1985	0.3617
1980	0.4335
1975	0.5241
1970	0.5001
1965	0.3895
1960	0.3117
1955	0.2714
1950	0.2620
1945	0.2760
1940	0.3080
1935	0.3703
1930	0.6131
1925	1.489
1920	1.104
1915	0.6842
1910	0.8194
1905	1.220
1900	1.245
1895	0.9159
1890	0.7464
1885	0.5946
1880	0.5004
1875	0.4619
1870	0.4530
1865	0.4950
1860	0.6109
1855	0.6581
1850	0.5093
1845	0.4564
1840	0.4453
1835	0.4145
1830	0.3914
1825	0.3185
1820	0.2349
1815	0.1908
1810	0.1682
1805	0.1548
1800	0.1864
1798	0.1882
1796	0.1909
1794	0.1950
1792	0.2002
1790	0.2068
1788	0.2153
1786	0.2261
1784	0.2400
1782	0.2576
1780	0.2799
1778	0.3081
1776	0.3426
1774	0.3848
1772	0.4351
1770	0.4941
1768	0.5622
1766	0.6397
1764	0.7250
1762	0.8151
1760	0.9067
1758	0.9962
1756	1.079
1754	1.152
1752	1.209
1750	1.250
1748	1.277
1746	1.298
1744	1.322
1742	1.354
1740	1.394
1738	1.444
1736	1.506
1734	1.582
1732	1.675
1730	1.790
1728	1.926
1726	2.087
1724	2.266
1722	2.463
1720	2.674
1718	2.841
1716	2.850
1714	2.697
1712	2.474
1710	2.252
1708	2.061
1706	1.896
1704	1.757
1702	1.644
1700	1.555
1698	1.488
1696	1.443
1694	1.419
1692	1.414
1690	1.431
1688	1.467
1686	1.523
1684	1.594
1682	1.673
1680	1.744
1678	1.779
1676	1.749
1674	1.653
1672	1.518
1670	1.372
1668	1.237
1666	1.115
1664	1.004
1662	0.9058
1660	0.8194
1658	0.7453
1656	0.6820
1654	0.6268
1652	0.5787
1650	0.5359
1648	0.4972
1646	0.4613
1644	0.4273
1642	0.3944
1640	0.3628
1638	0.3325
1636	0.3035
1634	0.2762
1632	0.2512
1630	0.2290
1628	0.2095
1626	0.1924
1624	0.1780
1622	0.1659
1620	0.1555
1618	0.1470
1616	0.1399
1614	0.1339
1612	0.1291
1610	0.1259
1608	0.1244
1606	0.1246
1604	0.1262
1602	0.1288
1600	0.1323
1598	0.1358
1596	0.1390
1594	0.1409
1592	0.1408
1590	0.1380
1588	0.1328
1586	0.1257
1584	0.1173
1582	0.1081
1580	0.09866
1578	0.08934
1576	0.08046
1574	0.07242
1572	0.06541
1570	0.05939
1568	0.05407
1566	0.04932
1564	0.04519
1562	0.04170
1560	0.03883
1558	0.03646
1556	0.03450
1554	0.03291
1552	0.03156
1550	0.03046
1548	0.02946
1546	0.02852
1544	0.02778
1542	0.02709
1540	0.02636
1538	0.02584
1536	0.02544
1534	0.02514
1532	0.02489
1530	0.02466
1528	0.02454
1526	0.02439
1524	0.02426
1522	0.02420
1520	0.02414
1518	0.02416
1516	0.02431
1514	0.02467
1512	0.02526
1510	0.02611
1508	0.02734
1506	0.02895
1504	0.03078
1502	0.03292
1500	0.03542
1498	0.03814
1496	0.04096
1494	0.04376
1492	0.04639
1490	0.04897
1488	0.05138
1486	0.05374
1484	0.05605
1482	0.05860
1480	0.06155
1478	0.06527
1476	0.06993
1474	0.07581
1472	0.08288
1470	0.09078
1468	0.09913
1466	0.1072
1464	0.1143
1462	0.1196
1460	0.1225
1458	0.1223
1456	0.1190
1454	0.1130
1452	0.1049
1450	0.09565
1448	0.08608
1446	0.07708
1444	0.06915
1442	0.06288
1440	0.05869
1438	0.05667
1436	0.05691
1434	0.05885
1432	0.06209
1430	0.06613
1428	0.07060
1426	0.07531
1424	0.07953
1422	0.08310
1420	0.08552
1418	0.08724
1416	0.08850
1414	0.09002
1412	0.09216
1410	0.09562
1408	0.1010
1406	0.1090
1404	0.1208
1402	0.1370
1400	0.1576
1398	0.1820
1396	0.2106
1394	0.2424
1392	0.2762
1390	0.3103
1388	0.3433
1386	0.3720
1384	0.3952
1382	0.4116
1380	0.4207
1378	0.4216
1376	0.4150
1374	0.4018
1372	0.3839
1370	0.3629
1368	0.3397
1366	0.3149
1364	0.2895
1362	0.2653
1360	0.2432
1358	0.2234
1356	0.2048
1354	0.1872
1352	0.1701
1350	0.1535
1348	0.1372
1346	0.1211
1344	0.1048
1342	0.08852
1340	0.07311
1338	0.05927
1336	0.04714
1334	0.03709
1332	0.02880
1330	0.02226
1328	0.01748
1326	0.01419
1324	0.01182
1322	0.01039
1320	0.009289
1318	0.008668
1316	0.008199
1314	0.008020
1312	0.008042
1310	0.008173
1308	0.008380
1306	0.008733
1304	0.009056
1302	0.009328
1300	0.009657
1298	0.009865
1296	0.01010
1294	0.01016
1292	0.01038
1290	0.01059
1288	0.01095
1286	0.01129
1284	0.01167
1282	0.01219
1280	0.01249
1278	0.01291
1276	0.01320
1274	0.01323
1272	0.01310
1270	0.01275
1268	0.01213
1266	0.01156
1264	0.01090
1262	0.01054
1260	0.01027
1258	0.01029
1256	0.01090
1254	0.01186
1252	0.01322
1250	0.01497
1248	0.01691
1246	0.01882
1244	0.02066
1242	0.02219
1240	0.02334
1238	0.02407
1236	0.02449
1234	0.02475
1232	0.02499
1230	0.02542
1228	0.02610
1226	0.02694
1224	0.02796
1222	0.02898
1220	0.02994
1218	0.03057
1216	0.03085
1214	0.03050
1212	0.02981
1210	0.02876
1208	0.02765
1206	0.02680
1204	0.02637
1202	0.02659
1200	0.02764
1198	0.02989
1196	0.03370
1194	0.03944
1192	0.04770
1190	0.05917
1188	0.07427
1186	0.09304
1184	0.1154
1182	0.1409
1180	0.1689
1178	0.1987
1176	0.2289
1174	0.2568
1172	0.2796
1170	0.2955
1168	0.3035
1166	0.3034
1164	0.2956
1162	0.2804
1160	0.2595
1158	0.2351
1156	0.2097
1154	0.1856
1152	0.1637
1150	0.1440
1148	0.1271
1146	0.1133
1144	0.1026
1142	0.09438
1140	0.08801
1138	0.08258
1136	0.07732
1134	0.07185
1132	0.06605
1130	0.05990
1128	0.05356
1126	0.04711
1124	0.04093
1122	0.03529
1120	0.03019
1118	0.02584
1116	0.02208
1114	0.01885
1112	0.01611
1110	0.01367
1108	0.01163
1106	0.009849
1104	0.008347
1102	0.007105
1100	0.006069
1098	0.005201
1096	0.004579
1094	0.003951
1092	0.003401
1090	0.002975
1088	0.002634
1086	0.002328
1084	0.001985
1082	0.001725
1080	0.001585
1078	0.001495
1076	0.001290
1074	0.001178
1072	0.001153
1070	0.001157
1068	0.001256
1066	0.001591
1064	0.001966
1062	0.002471
1060	0.003002
1058	0.003676
1056	0.004487
1054	0.005295
1052	0.005959
1050	0.006549
1048	0.007030
1046	0.007197
1044	0.007304
1042	0.007150
1040	0.006881
1038	0.006480
1036	0.006012
1034	0.005523
1032	0.005239
1030	0.005218
1028	0.005315
1026	0.005669
1024	0.006348
1022	0.007370
1020	0.008618
1018	0.01018
1016	0.01199
1014	0.01367
1012	0.01527
1010	0.01663
1008	0.01782
1006	0.01847
1004	0.01855
1002	0.01834
1000	0.01751
998	0.01637
996	0.01497
994	0.01334
992	0.01192
990	0.01039
988	0.008862
986	0.007630
984	0.006524
982	0.005664
980	0.004922
978	0.004165
976	0.003505
974	0.003043
972	0.002557
970	0.002003
968	0.001641
966	0.001308
964	0.001001
962	8.530E-4
960	8.080E-4
958	5.600E-4
956	5.720E-4
954	5.680E-4
952	4.920E-4
950	5.420E-4
948	3.830E-4
946	3.400E-4
944	5.320E-4
942	5.590E-4
940	5.060E-4
938	6.300E-4
936	7.000E-4
934	7.250E-4
932	8.570E-4
930	0.001162
928	0.001371
926	0.001558
924	0.001834
922	0.002285
920	0.002527
918	0.002809
916	0.003279
914	0.003962
912	0.004877
910	0.006241
908	0.007847
906	0.009776
904	0.01219
902	0.01471
900	0.01725
898	0.01959
896	0.02110
894	0.02258
892	0.02304
890	0.02220
888	0.02120
886	0.01925
884	0.01697
882	0.01452
880	0.01199
878	0.009750
876	0.007797
874	0.006289
872	0.005430
870	0.004549
868	0.003776
866	0.003844
864	0.003429
862	0.003262
860	-0.004517
858	0.002128
856	6.720E-4
854	0.001604
852	3.320E-4
850	1.370E-4
848	-3.010E-4
846	4.440E-4
844	1.100E-4
842	-7.900E-5
840	-2.600E-4
838	7.940E-4
836	5.700E-5
834	-4.310E-4
832	3.000E-5
830	-2.490E-4
828	5.030E-4
826	6.400E-5
824	9.170E-4
822	3.560E-4
820	0.001258
818	9.770E-4
816	3.750E-4
814	-2.560E-4
812	-1.000E-4
810	4.500E-4
808	1.990E-4
806	5.170E-4
804	8.840E-4
802	8.450E-4
800	0.001019
798	0.001777
796	0.001569
794	9.710E-4
792	6.600E-4
790	4.350E-4
788	3.860E-4
786	1.820E-4
784	1.750E-4
782	2.020E-4
780	2.080E-4
778	-1.420E-4
776	-1.290E-4
774	-2.620E-4
772	-1.200E-4
770	-1.350E-4
768	-3.670E-4
766	-2.100E-4
764	-2.960E-4
762	-2.000E-5
760	-2.260E-4
758	-2.100E-4
756	-1.890E-4
754	-1.530E-4
752	-2.170E-4
750	2.000E-5
748	-8.600E-5
746	1.930E-4
744	-3.100E-5
742	-7.500E-5
740	1.610E-4
738	6.340E-4
736	0.001064
734	0.002057
732	0.002813
730	0.003105
728	0.002983
726	0.002109
724	0.001498
722	8.730E-4
720	5.530E-4
718	2.350E-4
716	1.590E-4
714	2.170E-4
712	1.510E-4
710	8.900E-5
708	1.030E-4
706	2.460E-4
704	1.500E-5
702	-3.100E-5
700	6.000E-6
698	-8.900E-5
696	-9.800E-5
694	1.000E-6
692	-1.170E-4
690	-8.600E-5
688	2.600E-5
686	1.400E-5
684	2.820E-4
682	2.690E-4
680	6.900E-5
678	9.600E-5
676	1.200E-5
674	1.100E-5
672	-1.200E-4
670	-1.590E-4
668	3.000E-6
666	4.900E-5
664	7.300E-5
662	7.200E-5
660	6.100E-5
658	-4.300E-5
656	-1.990E-4
654	-9.500E-5
652	5.300E-5
650	2.240E-4
648	1.190E-4
646	1.150E-4
644	2.870E-4
642	2.240E-4
640	6.600E-5
638	2.800E-5
636	8.800E-5
634	1.930E-4
632	3.260E-4
630	2.610E-4
628	1.960E-4
626	2.580E-4
624	4.730E-4
622	5.410E-4
620	5.320E-4
618	5.360E-4
616	4.170E-4
614	3.650E-4
612	3.440E-4
610	1.790E-4
608	2.500E-4
606	3.150E-4
604	1.900E-4
602	3.380E-4
600	3.990E-4
598	2.710E-4
596	3.870E-4
594	3.970E-4
592	4.540E-4
590	5.750E-4
588	5.970E-4
586	4.620E-4
584	3.220E-4
582	3.080E-4
580	3.580E-4
578	3.890E-4
576	5.110E-4
574	5.170E-4
572	3.070E-4
570	3.790E-4
568	4.410E-4
566	2.930E-4
564	4.110E-4
562	5.930E-4
560	6.770E-4
558	5.540E-4
556	4.610E-4
554	4.380E-4
552	4.710E-4
550	5.750E-4
548	6.120E-4
546	7.160E-4
544	6.410E-4
542	6.440E-4
540	7.490E-4
538	6.730E-4
536	6.610E-4
534	6.580E-4
532	7.890E-4
530	8.060E-4
528	7.580E-4
526	8.650E-4
524	9.040E-4
522	8.250E-4
520	8.810E-4
518	9.560E-4
516	8.850E-4
514	9.250E-4
512	8.180E-4
510	9.300E-4
508	0.001077
506	0.001190
504	0.001107
502	0.001033
500	8.760E-4
498	0.001167
496	0.001264
494	0.001343
492	0.001283
490	0.001054
488	0.001150
486	0.001326
484	0.001376
482	0.001221
480	0.001553
478	0.001584
476	0.001460
474	0.001518
472	0.001315
470	0.001409
468	0.001552
466	0.001354
464	0.001314
462	0.001495
460	0.001475
458	0.001366
456	0.001361
454	0.001289
452	0.001688
450	0.001603
448	0.001602
446	0.001858
444	0.001631
442	0.001540
440	0.001618
438	0.001522
436	0.001596
434	0.001637
432	0.001889
430	0.001804
428	0.001829
426	0.001912
424	0.001800
422	0.002033
420	0.002227
418	0.002161
416	0.001878
414	0.002223
412	0.002156
410	0.002177
408	0.002306
406	0.002363
404	0.002351
402	0.002376
400	0.002232
398	0.002571
396	0.002371
394	0.002454
392	0.002376
390	0.002526
388	0.002544
386	0.002541
384	0.002376
382	0.002607
380	0.002531
378	0.002873
376	0.003324
374	0.002802
372	0.003211
370	0.002857
368	0.002960
366	0.003195
364	0.003246
362	0.003317
360	0.003416
358	0.003307
356	0.003637
354	0.003352
352	0.003738
350	0.003605
348	0.003791
346	0.004049
344	0.004018
342	0.004068
340	0.004176
338	0.004220
336	0.004223
334	0.004290
332	0.004635
330	0.004480
328	0.005192
326	0.004997
324	0.004820
322	0.004715
320	0.005494
318	0.005242
316	0.004668
314	0.004757
312	0.004939
310	0.005252
308	0.005054
306	0.005278
304	0.004976
302	0.005245
300	0.005342
298	0.005997
296	0.005931
294	0.006283
292	0.006506
290	0.006474
288	0.006655
286	0.006750
284	0.007148
282	0.007096
280	0.007792
278	0.008157
276	0.008116
274	0.008197
272	0.008204
270	0.008016
268	0.008623
266	0.008716
264	0.008653
262	0.009032
260	0.009540
258	0.009978
256	0.01044
254	0.01062
252	0.01093
250	0.01181
248	0.01249
246	0.01324
244	0.01409
242	0.01520
240	0.01620
238	0.01734
236	0.01832
234	0.01907
232	0.02064
230	0.02200
228	0.02317
226	0.02465
224	0.02649
222	0.02850
220	0.03016
218	0.03272
216	0.03571
214	0.03816
212	0.04231
210	0.05439
208	-0.05981
206	3.970
204	3.970
202	3.970
200	3.970
	0
