	A
	
	MeOH.Sample.Raw.csv
3773.58491	4.000
3780.71834	4.000
3787.87879	4.000
3795.06641	4.000
3802.28137	4.000
3809.52381	4.000
3816.79389	4.000
3824.09178	4.000
3831.41762	4.000
3838.77159	4.000
3846.15385	4.000
3853.56455	4.000
3861.00386	4.000
3868.47195	4.000
3875.96899	4.000
3883.49515	4.000
3891.05058	4.000
3898.63548	4.000
3906.25	4.000
3913.89432	4.000
3921.56863	4.000
3929.27308	4.000
3937.00787	4.000
3944.77318	4.000
3952.56917	4.000
3960.39604	4.000
3968.25397	4.000
3976.14314	4.000
3984.06375	4.000
3992.01597	4.000
4000	4.000
4008.01603	4.000
4016.06426	4.000
4024.14487	4.000
4032.25806	4.000
4040.40404	4.000
4048.583	4.000
4056.79513	4.000
4065.04065	4.000
4073.31976	4.000
4081.63265	4.000
4089.97955	4.000
4098.36066	4.000
4106.77618	4.000
4115.22634	4.000
4123.71134	4.000
4132.2314	4.000
4140.78675	4.000
4149.37759	4.000
4158.00416	4.000
4166.66667	4.000
4175.36534	4.000
4184.10042	4.000
4192.87212	4.000
4201.68067	4.000
4210.52632	4.000
4219.40928	4.000
4228.32981	4.000
4237.28814	4.000
4246.2845	4.000
4255.31915	4.000
4264.39232	4.000
4273.50427	4.000
4282.65525	4.000
4291.84549	4.000
4301.07527	4.000
4310.34483	4.000
4319.65443	4.000
4329.00433	4.000
4338.39479	4.000
4347.82609	4.000
4357.29847	4.000
4366.81223	4.000
4376.36761	4.000
4385.96491	4.000
4395.6044	4.000
4405.28634	4.000
4415.01104	4.000
4424.77876	4.000
4434.5898	4.000
4444.44444	4.000
4454.34298	4.000
4464.28571	4.000
4474.27293	4.000
4484.30493	4.000
4494.38202	4.000
4504.5045	4.000
4514.67269	4.000
4524.88688	4.000
4535.14739	4.000
4545.45455	4.000
4555.80866	4.000
4566.21005	4.000
4576.65904	4.000
4587.15596	4.000
4597.70115	4.000
4608.29493	4.000
4618.93764	4.000
4629.62963	4.000
4640.37123	4.000
4651.16279	4.000
4662.00466	4.000
4672.8972	4.000
4683.84075	4.000
4694.83568	4.000
4705.88235	4.000
4716.98113	4.000
4728.13239	4.000
4739.33649	4.000
4750.59382	4.000
4761.90476	4.000
4773.26969	4.000
4784.689	4.000
4796.16307	4.000
4807.69231	4.000
4819.27711	4.000
4830.91787	4.000
4842.61501	4.000
4854.36893	4.000
4866.18005	4.000
4878.04878	4.000
4889.97555	4.000
4901.96078	4.000
4914.00491	4.000
4926.10837	4.000
4938.2716	4.000
4950.49505	3.318
4962.77916	2.985
4975.12438	2.703
4987.53117	2.557
5000	2.374
5012.53133	2.144
5025.12563	1.984
5037.78338	1.804
5050.50505	1.667
5063.29114	1.524
5076.14213	1.418
5089.05852	1.330
5102.04082	1.281
5115.08951	1.229
5128.20513	1.126
5141.38817	1.011
5154.63918	0.9287
5167.95866	0.8949
5181.34715	0.9009
5194.80519	0.9323
5208.33333	0.9501
5221.93211	0.9423
5235.60209	0.9267
5249.34383	0.9332
5263.15789	0.9249
5277.04485	0.8594
5291.00529	0.7980
5305.03979	0.7756
5319.14894	0.7859
5333.33333	0.8252
5347.59358	0.8771
5361.93029	0.9284
5376.34409	0.9570
5390.83558	0.9718
5405.40541	1.005
5420.0542	1.054
5434.78261	1.085
5449.59128	1.105
5464.48087	1.138
5479.45205	1.176
5494.50549	1.216
5509.64187	1.261
5524.86188	1.314
5540.1662	1.340
5555.55556	1.413
5561.73526	1.432
5567.92873	1.451
5574.13601	1.473
5580.35714	1.496
5586.59218	1.522
5592.84116	1.549
5599.10414	1.577
5605.38117	1.610
5611.67228	1.643
5617.97753	1.679
5624.29696	1.718
5630.63063	1.762
5636.97858	1.808
5643.34086	1.859
5649.71751	1.913
5656.1086	1.970
5662.51416	2.031
5668.93424	2.091
5675.3689	2.150
5681.81818	2.214
5688.28214	2.272
5694.76082	2.334
5701.25428	2.389
5707.76256	2.446
5714.28571	2.505
5720.8238	2.565
5727.37686	2.628
5733.94495	2.701
5740.52813	2.773
5747.12644	2.848
5753.73993	2.934
5760.36866	3.022
5767.01269	3.113
5773.67206	3.190
5780.34682	3.268
5787.03704	3.365
5793.74276	3.405
5800.46404	3.482
5807.20093	3.487
5813.95349	3.556
5820.72177	3.581
5827.50583	3.606
5834.30572	3.638
5841.1215	3.678
5847.95322	3.718
5854.80094	3.757
5861.66471	3.837
5868.5446	3.890
5875.44066	3.906
5882.35294	3.885
5889.28151	3.889
5896.22642	3.786
5903.18772	3.755
5910.16548	3.664
5917.15976	3.558
5924.17062	3.426
5931.1981	3.306
5938.24228	3.181
5945.30321	3.061
5952.38095	2.954
5959.47557	2.861
5966.58711	2.774
5973.71565	2.696
5980.86124	2.631
5988.02395	2.573
5995.20384	2.526
6002.40096	2.488
6009.61538	2.455
6016.84717	2.431
6024.09639	2.412
6031.36309	2.400
6038.64734	2.398
6045.94921	2.397
6053.26877	2.401
