	A
	
	MeOH.Sample.Raw.csv
2650	4.000
2645	4.000
2640	4.000
2635	4.000
2630	4.000
2625	4.000
2620	4.000
2615	4.000
2610	4.000
2605	4.000
2600	4.000
2595	4.000
2590	4.000
2585	4.000
2580	4.000
2575	4.000
2570	4.000
2565	4.000
2560	4.000
2555	4.000
2550	4.000
2545	4.000
2540	4.000
2535	4.000
2530	4.000
2525	4.000
2520	4.000
2515	4.000
2510	4.000
2505	4.000
2500	4.000
2495	4.000
2490	4.000
2485	4.000
2480	4.000
2475	4.000
2470	4.000
2465	4.000
2460	4.000
2455	4.000
2450	4.000
2445	4.000
2440	4.000
2435	4.000
2430	4.000
2425	4.000
2420	4.000
2415	4.000
2410	4.000
2405	4.000
2400	4.000
2395	4.000
2390	4.000
2385	4.000
2380	4.000
2375	4.000
2370	4.000
2365	4.000
2360	4.000
2355	4.000
2350	4.000
2345	4.000
2340	4.000
2335	4.000
2330	4.000
2325	4.000
2320	4.000
2315	4.000
2310	4.000
2305	4.000
2300	4.000
2295	4.000
2290	4.000
2285	4.000
2280	4.000
2275	4.000
2270	4.000
2265	4.000
2260	4.000
2255	4.000
2250	4.000
2245	4.000
2240	4.000
2235	4.000
2230	4.000
2225	4.000
2220	4.000
2215	4.000
2210	4.000
2205	4.000
2200	4.000
2195	4.000
2190	4.000
2185	4.000
2180	4.000
2175	4.000
2170	4.000
2165	4.000
2160	4.000
2155	4.000
2150	4.000
2145	4.000
2140	4.000
2135	4.000
2130	4.000
2125	4.000
2120	4.000
2115	4.000
2110	4.000
2105	4.000
2100	4.000
2095	4.000
2090	4.000
2085	4.000
2080	4.000
2075	4.000
2070	4.000
2065	4.000
2060	4.000
2055	4.000
2050	4.000
2045	4.000
2040	4.000
2035	4.000
2030	4.000
2025	4.000
2020	3.318
2015	2.985
2010	2.703
2005	2.557
2000	2.374
1995	2.144
1990	1.984
1985	1.804
1980	1.667
1975	1.524
1970	1.418
1965	1.330
1960	1.281
1955	1.229
1950	1.126
1945	1.011
1940	0.9287
1935	0.8949
1930	0.9009
1925	0.9323
1920	0.9501
1915	0.9423
1910	0.9267
1905	0.9332
1900	0.9249
1895	0.8594
1890	0.7980
1885	0.7756
1880	0.7859
1875	0.8252
1870	0.8771
1865	0.9284
1860	0.9570
1855	0.9718
1850	1.005
1845	1.054
1840	1.085
1835	1.105
1830	1.138
1825	1.176
1820	1.216
1815	1.261
1810	1.314
1805	1.340
1800	1.413
1798	1.432
1796	1.451
1794	1.473
1792	1.496
1790	1.522
1788	1.549
1786	1.577
1784	1.610
1782	1.643
1780	1.679
1778	1.718
1776	1.762
1774	1.808
1772	1.859
1770	1.913
1768	1.970
1766	2.031
1764	2.091
1762	2.150
1760	2.214
1758	2.272
1756	2.334
1754	2.389
1752	2.446
1750	2.505
1748	2.565
1746	2.628
1744	2.701
1742	2.773
1740	2.848
1738	2.934
1736	3.022
1734	3.113
1732	3.190
1730	3.268
1728	3.365
1726	3.405
1724	3.482
1722	3.487
1720	3.556
1718	3.581
1716	3.606
1714	3.638
1712	3.678
1710	3.718
1708	3.757
1706	3.837
1704	3.890
1702	3.906
1700	3.885
1698	3.889
1696	3.786
1694	3.755
1692	3.664
1690	3.558
1688	3.426
1686	3.306
1684	3.181
1682	3.061
1680	2.954
1678	2.861
1676	2.774
1674	2.696
1672	2.631
1670	2.573
1668	2.526
1666	2.488
1664	2.455
1662	2.431
1660	2.412
1658	2.400
1656	2.398
1654	2.397
1652	2.401
1650	2.410
1648	2.424
1646	2.447
1644	2.473
1642	2.502
1640	2.536
1638	2.573
1636	2.616
1634	2.665
1632	2.714
1630	2.766
1628	2.822
1626	2.886
1624	2.946
1622	3.004
1620	3.083
1618	3.174
1616	3.225
1614	3.293
1612	3.369
1610	3.418
1608	3.493
1606	3.592
1604	3.671
1602	3.661
1600	3.772
1598	3.842
1596	3.833
1594	3.907
1592	3.991
1590	4.000
1588	4.000
1586	4.000
1584	4.000
1582	4.000
1580	4.000
1578	4.000
1576	4.000
1574	4.000
1572	4.000
1570	4.000
1568	4.000
1566	4.000
1564	4.000
1562	4.000
1560	3.934
1558	3.947
1556	3.905
1554	3.955
1552	3.896
1550	3.893
1548	3.930
1546	3.828
1544	3.835
1542	3.799
1540	3.757
1538	3.688
1536	3.668
1534	3.663
1532	3.620
1530	3.607
1528	3.583
1526	3.602
1524	3.546
1522	3.542
1520	3.554
1518	3.516
1516	3.515
1514	3.494
1512	3.480
1510	3.432
1508	3.424
1506	3.421
1504	3.374
1502	3.371
1500	3.350
1498	3.325
1496	3.295
1494	3.269
1492	3.252
1490	3.214
1488	3.191
1486	3.155
1484	3.129
1482	3.083
1480	3.050
1478	3.027
1476	2.983
1474	2.957
1472	2.919
1470	2.881
1468	2.840
1466	2.793
1464	2.749
1462	2.693
1460	2.637
1458	2.575
1456	2.512
1454	2.443
1452	2.378
1450	2.318
1448	2.254
1446	2.197
1444	2.140
1442	2.087
