	A
	
	Chloroform.Sample.Raw.csv
3773.58491	1.387
3780.71834	1.182
3787.87879	0.9950
3795.06641	0.8264
3802.28137	0.6763
3809.52381	0.5447
3816.79389	0.3949
3824.09178	0.3023
3831.41762	0.2503
3838.77159	0.2140
3846.15385	0.1857
3853.56455	0.1630
3861.00386	0.1443
3868.47195	0.1277
3875.96899	0.1148
3883.49515	0.1040
3891.05058	0.09629
3898.63548	0.09033
3906.25	0.08597
3913.89432	0.08424
3921.56863	0.08406
3929.27308	0.08433
3937.00787	0.08378
3944.77318	0.08100
3952.56917	0.07785
3960.39604	0.07314
3968.25397	0.06717
3976.14314	0.06145
3984.06375	0.05670
3992.01597	0.05441
4000	0.05486
4008.01603	0.06148
4016.06426	0.07658
4024.14487	0.09608
4032.25806	0.1147
4040.40404	0.1281
4048.583	0.1331
4056.79513	0.1301
4065.04065	0.1204
4073.31976	0.1064
4081.63265	0.09303
4089.97955	0.08623
4098.36066	0.09884
4106.77618	0.1446
4115.22634	0.2263
4123.71134	0.3405
4132.2314	0.4708
4140.78675	0.6089
4149.37759	0.8072
4158.00416	1.070
4166.66667	1.383
4175.36534	1.622
4184.10042	1.874
4192.87212	2.070
4201.68067	2.208
4210.52632	2.298
4219.40928	2.253
4228.32981	2.182
4237.28814	2.179
4246.2845	2.197
4255.31915	2.209
4264.39232	2.114
4273.50427	2.015
4282.65525	1.830
4291.84549	1.610
4301.07527	1.368
4310.34483	1.076
4319.65443	0.8543
4329.00433	0.6984
4338.39479	0.5695
4347.82609	0.4770
4357.29847	0.3956
4366.81223	0.3324
4376.36761	0.2807
4385.96491	0.2405
4395.6044	0.2093
4405.28634	0.1856
4415.01104	0.1640
4424.77876	0.1414
4434.5898	0.1279
4444.44444	0.1247
4454.34298	0.1262
4464.28571	0.1280
4474.27293	0.1274
4484.30493	0.1250
4494.38202	0.1170
4504.5045	0.1041
4514.67269	0.08735
4524.88688	0.06975
4535.14739	0.06181
4545.45455	0.06125
4555.80866	0.05975
4566.21005	0.05704
4576.65904	0.05480
4587.15596	0.05400
4597.70115	0.05061
4608.29493	0.04738
4618.93764	0.04295
4629.62963	0.03869
4640.37123	0.03696
4651.16279	0.03797
4662.00466	0.03946
4672.8972	0.04071
4683.84075	0.04131
4694.83568	0.05232
4705.88235	0.07829
4716.98113	0.1059
