	A
	
	Chloroform.Sample.Raw.csv
2650	1.387
2645	1.182
2640	0.9950
2635	0.8264
2630	0.6763
2625	0.5447
2620	0.3949
2615	0.3023
2610	0.2503
2605	0.2140
2600	0.1857
2595	0.1630
2590	0.1443
2585	0.1277
2580	0.1148
2575	0.1040
2570	0.09629
2565	0.09033
2560	0.08597
2555	0.08424
2550	0.08406
2545	0.08433
2540	0.08378
2535	0.08100
2530	0.07785
2525	0.07314
2520	0.06717
2515	0.06145
2510	0.05670
2505	0.05441
2500	0.05486
2495	0.06148
2490	0.07658
2485	0.09608
2480	0.1147
2475	0.1281
2470	0.1331
2465	0.1301
2460	0.1204
2455	0.1064
2450	0.09303
2445	0.08623
2440	0.09884
2435	0.1446
2430	0.2263
2425	0.3405
2420	0.4708
2415	0.6089
2410	0.8072
2405	1.070
2400	1.383
2395	1.622
2390	1.874
2385	2.070
2380	2.208
2375	2.298
2370	2.253
2365	2.182
2360	2.179
2355	2.197
2350	2.209
2345	2.114
2340	2.015
2335	1.830
2330	1.610
2325	1.368
2320	1.076
2315	0.8543
2310	0.6984
2305	0.5695
2300	0.4770
2295	0.3956
2290	0.3324
2285	0.2807
2280	0.2405
2275	0.2093
2270	0.1856
2265	0.1640
2260	0.1414
2255	0.1279
2250	0.1247
2245	0.1262
2240	0.1280
2235	0.1274
2230	0.1250
2225	0.1170
2220	0.1041
2215	0.08735
2210	0.06975
2205	0.06181
2200	0.06125
2195	0.05975
2190	0.05704
2185	0.05480
2180	0.05400
2175	0.05061
2170	0.04738
2165	0.04295
2160	0.03869
2155	0.03696
2150	0.03797
2145	0.03946
2140	0.04071
2135	0.04131
2130	0.05232
2125	0.07829
2120	0.1059
2115	0.1306
2110	0.1551
2105	0.1731
2100	0.1785
2095	0.1693
2090	0.1461
2085	0.1147
2080	0.08804
2075	0.06812
2070	0.06639
2065	0.08476
2060	0.1091
2055	0.1284
2050	0.1392
2045	0.1395
2040	0.1288
2035	0.1088
2030	0.08320
2025	0.06159
2020	0.06167
2015	0.06825
2010	0.06882
2005	0.06657
2000	0.06224
1995	0.05557
1990	0.04788
1985	0.04129
1980	0.03668
1975	0.03365
1970	0.03172
1965	0.03027
1960	0.02987
1955	0.03028
1950	0.03051
1945	0.03063
1940	0.03037
1935	0.03026
1930	0.03015
1925	0.03087
