	A
	
	Cyclohexane.Sample.Raw.csv
3773.58491	3.941
3780.71834	3.941
3787.87879	3.941
3795.06641	3.941
3802.28137	3.941
3809.52381	3.941
3816.79389	3.941
3824.09178	3.941
3831.41762	3.941
3838.77159	3.941
3846.15385	3.941
3853.56455	3.941
3861.00386	3.941
3868.47195	3.941
3875.96899	3.941
3883.49515	3.941
3891.05058	3.941
3898.63548	3.941
3906.25	3.941
3913.89432	3.941
3921.56863	3.941
3929.27308	3.941
3937.00787	3.941
3944.77318	3.941
3952.56917	3.941
3960.39604	3.941
3968.25397	3.941
3976.14314	3.941
3984.06375	3.941
3992.01597	3.941
4000	3.941
4008.01603	3.941
4016.06426	3.941
4024.14487	3.941
4032.25806	3.941
4040.40404	3.941
4048.583	3.941
4056.79513	3.941
4065.04065	3.941
4073.31976	3.941
4081.63265	3.941
4089.97955	3.941
4098.36066	3.941
4106.77618	3.941
4115.22634	3.941
4123.71134	3.941
4132.2314	3.941
4140.78675	3.941
4149.37759	3.941
4158.00416	3.941
4166.66667	3.941
4175.36534	3.941
4184.10042	3.941
4192.87212	3.941
4201.68067	3.941
4210.52632	3.941
4219.40928	3.941
4228.32981	3.941
4237.28814	3.941
4246.2845	3.941
4255.31915	3.941
4264.39232	3.941
4273.50427	3.941
4282.65525	3.941
4291.84549	3.941
4301.07527	3.941
4310.34483	3.941
4319.65443	3.941
4329.00433	3.941
4338.39479	3.941
4347.82609	3.941
4357.29847	3.941
4366.81223	3.941
4376.36761	3.941
4385.96491	3.733
4395.6044	3.399
4405.28634	2.968
4415.01104	2.472
4424.77876	1.972
4434.5898	1.528
4444.44444	1.198
4454.34298	1.063
4464.28571	0.9601
4474.27293	0.8531
4484.30493	0.7878
4494.38202	0.7652
4504.5045	0.7547
4514.67269	0.7222
4524.88688	0.6894
4535.14739	0.6738
4545.45455	0.6664
4555.80866	0.6685
4566.21005	0.6697
4576.65904	0.6525
4587.15596	0.6287
4597.70115	0.6208
4608.29493	0.6084
4618.93764	0.5730
4629.62963	0.5376
4640.37123	0.5100
4651.16279	0.4928
4662.00466	0.4825
4672.8972	0.4763
4683.84075	0.4748
4694.83568	0.4924
4705.88235	0.5109
4716.98113	0.5323
4728.13239	0.5368
4739.33649	0.5438
4750.59382	0.5488
4761.90476	0.5666
4773.26969	0.5997
4784.689	0.6305
4796.16307	0.6532
4807.69231	0.6721
4819.27711	0.6714
4830.91787	0.6441
4842.61501	0.6196
4854.36893	0.6235
4866.18005	0.6320
4878.04878	0.6271
4889.97555	0.6214
4901.96078	0.5939
4914.00491	0.5621
4926.10837	0.5478
4938.2716	0.5540
4950.49505	0.5748
4962.77916	0.6476
4975.12438	0.7299
4987.53117	0.8025
5000	0.8886
5012.53133	0.9748
5025.12563	1.018
5037.78338	1.022
5050.50505	1.010
5063.29114	0.9690
5076.14213	0.9023
5089.05852	0.8398
5102.04082	0.7891
5115.08951	0.8030
5128.20513	0.8659
5141.38817	0.9131
5154.63918	0.9247
5167.95866	0.9218
5181.34715	0.9042
5194.80519	0.8505
5208.33333	0.7994
5221.93211	0.7822
5235.60209	0.8388
5249.34383	0.9586
5263.15789	1.037
5277.04485	1.047
5291.00529	1.025
5305.03979	0.9885
5319.14894	0.9325
5333.33333	0.8646
5347.59358	0.7982
5361.93029	0.7649
5376.34409	0.7787
5390.83558	0.8434
5405.40541	0.9183
5420.0542	0.9926
5434.78261	1.123
5449.59128	1.329
5464.48087	1.587
5479.45205	1.833
5494.50549	1.975
5509.64187	2.085
5524.86188	2.165
5540.1662	2.213
5555.55556	2.097
5561.73526	2.079
5567.92873	2.069
5574.13601	2.066
5580.35714	2.069
5586.59218	2.077
5592.84116	2.091
5599.10414	2.106
5605.38117	2.129
5611.67228	2.162
5617.97753	2.191
5624.29696	2.232
5630.63063	2.278
5636.97858	2.333
5643.34086	2.397
5649.71751	2.474
5656.1086	2.566
5662.51416	2.662
5668.93424	2.784
5675.3689	2.901
5681.81818	3.081
5688.28214	3.224
5694.76082	3.321
5701.25428	3.286
5707.76256	3.127
5714.28571	2.991
5720.8238	2.868
5727.37686	2.784
5733.94495	2.714
5740.52813	2.669
5747.12644	2.648
5753.73993	2.651
5760.36866	2.703
5767.01269	2.769
5773.67206	2.858
5780.34682	2.978
5787.03704	3.132
5793.74276	3.334
5800.46404	3.601
5807.20093	3.860
5813.95349	4.164
5820.72177	4.300
5827.50583	3.718
5834.30572	3.168
5841.1215	2.661
5847.95322	2.250
5854.80094	1.920
5861.66471	1.642
5868.5446	1.409
5875.44066	1.212
5882.35294	1.041
5889.28151	0.8943
5896.22642	0.7695
5903.18772	0.6601
5910.16548	0.5662
5917.15976	0.4856
5924.17062	0.4168
5931.1981	0.3584
5938.24228	0.3093
5945.30321	0.2682
5952.38095	0.2339
5959.47557	0.2056
5966.58711	0.1825
5973.71565	0.1638
5980.86124	0.1491
5988.02395	0.1375
5995.20384	0.1288
6002.40096	0.1223
6009.61538	0.1175
6016.84717	0.1141
6024.09639	0.1114
6031.36309	0.1090
6038.64734	0.1068
6045.94921	0.1041
6053.26877	0.1011
6060.60606	0.09733
6067.96117	0.09306
6075.33414	0.08832
6082.72506	0.08319
6090.13398	0.07792
6097.56098	0.07279
6105.00611	0.06804
6112.46944	0.06383
6119.95104	0.06038
6127.45098	0.05777
6134.96933	0.05604
6142.50614	0.05509
6150.0615	0.05483
6157.63547	0.05526
6165.22811	0.05625
6172.83951	0.05737
6180.46972	0.05861
6188.11881	0.05976
6195.78686	0.06052
6203.47395	0.06093
6211.18012	0.06083
6218.90547	0.06012
6226.65006	0.05891
6234.41397	0.05730
