	A
	
	Cyclohexane.Sample.Raw.csv
2650	3.941
2645	3.941
2640	3.941
2635	3.941
2630	3.941
2625	3.941
2620	3.941
2615	3.941
2610	3.941
2605	3.941
2600	3.941
2595	3.941
2590	3.941
2585	3.941
2580	3.941
2575	3.941
2570	3.941
2565	3.941
2560	3.941
2555	3.941
2550	3.941
2545	3.941
2540	3.941
2535	3.941
2530	3.941
2525	3.941
2520	3.941
2515	3.941
2510	3.941
2505	3.941
2500	3.941
2495	3.941
2490	3.941
2485	3.941
2480	3.941
2475	3.941
2470	3.941
2465	3.941
2460	3.941
2455	3.941
2450	3.941
2445	3.941
2440	3.941
2435	3.941
2430	3.941
2425	3.941
2420	3.941
2415	3.941
2410	3.941
2405	3.941
2400	3.941
2395	3.941
2390	3.941
2385	3.941
2380	3.941
2375	3.941
2370	3.941
2365	3.941
2360	3.941
2355	3.941
2350	3.941
2345	3.941
2340	3.941
2335	3.941
2330	3.941
2325	3.941
2320	3.941
2315	3.941
2310	3.941
2305	3.941
2300	3.941
2295	3.941
2290	3.941
2285	3.941
2280	3.733
2275	3.399
2270	2.968
2265	2.472
2260	1.972
2255	1.528
2250	1.198
2245	1.063
2240	0.9601
2235	0.8531
2230	0.7878
2225	0.7652
2220	0.7547
2215	0.7222
2210	0.6894
2205	0.6738
2200	0.6664
2195	0.6685
2190	0.6697
2185	0.6525
2180	0.6287
2175	0.6208
2170	0.6084
2165	0.5730
2160	0.5376
2155	0.5100
2150	0.4928
2145	0.4825
2140	0.4763
2135	0.4748
2130	0.4924
2125	0.5109
2120	0.5323
2115	0.5368
2110	0.5438
2105	0.5488
2100	0.5666
2095	0.5997
2090	0.6305
2085	0.6532
2080	0.6721
2075	0.6714
2070	0.6441
2065	0.6196
2060	0.6235
2055	0.6320
2050	0.6271
2045	0.6214
2040	0.5939
2035	0.5621
2030	0.5478
2025	0.5540
2020	0.5748
2015	0.6476
2010	0.7299
2005	0.8025
2000	0.8886
1995	0.9748
1990	1.018
1985	1.022
1980	1.010
1975	0.9690
1970	0.9023
1965	0.8398
1960	0.7891
1955	0.8030
1950	0.8659
1945	0.9131
1940	0.9247
1935	0.9218
1930	0.9042
1925	0.8505
1920	0.7994
1915	0.7822
1910	0.8388
1905	0.9586
1900	1.037
1895	1.047
1890	1.025
1885	0.9885
1880	0.9325
1875	0.8646
1870	0.7982
1865	0.7649
1860	0.7787
1855	0.8434
1850	0.9183
1845	0.9926
1840	1.123
1835	1.329
1830	1.587
1825	1.833
1820	1.975
1815	2.085
1810	2.165
1805	2.213
1800	2.097
1798	2.079
1796	2.069
1794	2.066
1792	2.069
1790	2.077
1788	2.091
1786	2.106
1784	2.129
1782	2.162
1780	2.191
1778	2.232
1776	2.278
1774	2.333
1772	2.397
1770	2.474
1768	2.566
1766	2.662
1764	2.784
1762	2.901
1760	3.081
1758	3.224
1756	3.321
1754	3.286
1752	3.127
1750	2.991
1748	2.868
1746	2.784
1744	2.714
1742	2.669
1740	2.648
1738	2.651
1736	2.703
1734	2.769
1732	2.858
1730	2.978
1728	3.132
1726	3.334
1724	3.601
1722	3.860
1720	4.164
1718	4.300
1716	3.718
1714	3.168
1712	2.661
1710	2.250
1708	1.920
1706	1.642
1704	1.409
1702	1.212
1700	1.041
1698	0.8943
1696	0.7695
1694	0.6601
1692	0.5662
1690	0.4856
1688	0.4168
1686	0.3584
1684	0.3093
1682	0.2682
1680	0.2339
1678	0.2056
1676	0.1825
1674	0.1638
1672	0.1491
1670	0.1375
1668	0.1288
1666	0.1223
1664	0.1175
1662	0.1141
1660	0.1114
1658	0.1090
1656	0.1068
1654	0.1041
1652	0.1011
1650	0.09733
1648	0.09306
1646	0.08832
1644	0.08319
1642	0.07792
1640	0.07279
1638	0.06804
1636	0.06383
1634	0.06038
1632	0.05777
1630	0.05604
1628	0.05509
1626	0.05483
1624	0.05526
1622	0.05625
1620	0.05737
1618	0.05861
1616	0.05976
1614	0.06052
1612	0.06093
1610	0.06083
1608	0.06012
1606	0.05891
1604	0.05730
1602	0.05563
1600	0.05406
1598	0.05265
1596	0.05158
1594	0.05084
1592	0.05031
1590	0.04988
1588	0.04948
1586	0.04899
1584	0.04826
1582	0.04719
1580	0.04580
1578	0.04409
1576	0.04220
1574	0.04033
1572	0.03855
1570	0.03684
1568	0.03528
1566	0.03398
1564	0.03307
1562	0.03263
1560	0.03281
1558	0.03358
1556	0.03492
1554	0.03682
1552	0.03922
1550	0.04191
1548	0.04468
1546	0.04725
1544	0.04960
1542	0.05161
1540	0.05338
1538	0.05520
1536	0.05730
1534	0.05988
1532	0.06308
1530	0.06710
1528	0.07201
1526	0.07756
1524	0.08335
1522	0.08900
1520	0.09404
1518	0.09813
1516	0.1013
1514	0.1035
1512	0.1045
1510	0.1047
1508	0.1046
1506	0.1046
1504	0.1052
1502	0.1069
1500	0.1099
1498	0.1140
1496	0.1192
1494	0.1253
1492	0.1317
1490	0.1382
1488	0.1441
1486	0.1490
1484	0.1529
1482	0.1558
1480	0.1578
1478	0.1594
1476	0.1608
1474	0.1624
1472	0.1643
1470	0.1666
1468	0.1698
1466	0.1734
1464	0.1778
1462	0.1831
1460	0.1897
1458	0.1977
1456	0.2072
1454	0.2181
1452	0.2304
1450	0.2440
1448	0.2585
1446	0.2730
1444	0.2864
1442	0.2982
1440	0.3082
1438	0.3166
1436	0.3234
1434	0.3290
1432	0.3341
1430	0.3401
1428	0.3479
1426	0.3575
1424	0.3681
1422	0.3793
1420	0.3905
1418	0.4009
1416	0.4094
1414	0.4139
1412	0.4129
1410	0.4073
1408	0.3995
1406	0.3921
