	A
	
	Decaline.Sample.Raw.csv
3773.58491	3.993
3780.71834	3.993
3787.87879	3.993
3795.06641	3.993
3802.28137	3.993
3809.52381	3.993
3816.79389	3.993
3824.09178	3.993
3831.41762	3.993
3838.77159	3.993
3846.15385	3.993
3853.56455	3.993
3861.00386	3.993
3868.47195	3.993
3875.96899	3.993
3883.49515	3.993
3891.05058	3.993
3898.63548	3.993
3906.25	3.993
3913.89432	3.993
3921.56863	3.993
3929.27308	3.993
3937.00787	3.993
3944.77318	3.993
3952.56917	3.993
3960.39604	3.993
3968.25397	3.993
3976.14314	3.993
3984.06375	3.993
3992.01597	3.993
4000	3.993
4008.01603	3.993
4016.06426	3.993
4024.14487	3.993
4032.25806	3.993
4040.40404	3.993
4048.583	3.993
4056.79513	3.993
4065.04065	3.993
4073.31976	3.993
4081.63265	3.993
4089.97955	3.993
4098.36066	3.993
4106.77618	3.993
4115.22634	3.993
4123.71134	3.993
4132.2314	3.993
4140.78675	3.993
4149.37759	3.993
4158.00416	3.993
4166.66667	3.993
4175.36534	3.993
4184.10042	3.993
4192.87212	3.993
4201.68067	3.993
4210.52632	3.993
4219.40928	3.993
4228.32981	3.993
4237.28814	3.993
4246.2845	3.993
4255.31915	3.993
4264.39232	3.993
4273.50427	3.993
4282.65525	3.993
4291.84549	3.993
4301.07527	3.993
4310.34483	3.993
4319.65443	3.993
4329.00433	3.993
4338.39479	3.993
4347.82609	3.971
4357.29847	3.825
4366.81223	3.644
4376.36761	3.384
4385.96491	3.075
4395.6044	2.717
4405.28634	2.350
4415.01104	2.016
4424.77876	1.770
4434.5898	1.515
4444.44444	1.213
4454.34298	1.053
4464.28571	0.9482
4474.27293	0.8663
4484.30493	0.8278
4494.38202	0.7939
4504.5045	0.7665
4514.67269	0.7395
4524.88688	0.7210
4535.14739	0.7090
4545.45455	0.6981
4555.80866	0.6991
4566.21005	0.7005
4576.65904	0.7042
4587.15596	0.7111
4597.70115	0.7089
4608.29493	0.6982
4618.93764	0.6839
4629.62963	0.6743
4640.37123	0.6660
4651.16279	0.6552
4662.00466	0.6517
4672.8972	0.6508
4683.84075	0.6469
4694.83568	0.6452
4705.88235	0.6450
4716.98113	0.6450
4728.13239	0.6447
4739.33649	0.6476
4750.59382	0.6475
4761.90476	0.6480
4773.26969	0.6553
4784.689	0.6653
4796.16307	0.6698
4807.69231	0.6724
4819.27711	0.6813
4830.91787	0.6910
4842.61501	0.6978
4854.36893	0.7050
4866.18005	0.7072
4878.04878	0.7100
4889.97555	0.7166
4901.96078	0.7282
4914.00491	0.7397
4926.10837	0.7540
4938.2716	0.7786
4950.49505	0.8073
4962.77916	0.8346
4975.12438	0.8601
4987.53117	0.8805
5000	0.9042
5012.53133	0.9348
5025.12563	0.9673
5037.78338	0.9920
5050.50505	1.010
5063.29114	1.033
5076.14213	1.056
5089.05852	1.071
5102.04082	1.077
5115.08951	1.075
5128.20513	1.071
5141.38817	1.063
5154.63918	1.050
5167.95866	1.034
5181.34715	1.029
5194.80519	1.049
5208.33333	1.080
5221.93211	1.113
5235.60209	1.141
5249.34383	1.162
5263.15789	1.175
5277.04485	1.178
5291.00529	1.181
5305.03979	1.179
5319.14894	1.175
5333.33333	1.173
5347.59358	1.186
5361.93029	1.210
5376.34409	1.237
5390.83558	1.283
5405.40541	1.349
5420.0542	1.436
5434.78261	1.559
5449.59128	1.712
5464.48087	1.866
5479.45205	2.068
5494.50549	2.181
5509.64187	2.188
5524.86188	2.142
5540.1662	2.039
5555.55556	2.340
5561.73526	2.329
5567.92873	2.314
5574.13601	2.291
5580.35714	2.269
5586.59218	2.251
5592.84116	2.238
5599.10414	2.232
5605.38117	2.236
5611.67228	2.252
5617.97753	2.281
5624.29696	2.327
5630.63063	2.390
5636.97858	2.469
5643.34086	2.566
5649.71751	2.691
5656.1086	2.830
5662.51416	2.999
5668.93424	3.184
5675.3689	3.373
5681.81818	3.543
5688.28214	3.592
5694.76082	3.556
5701.25428	3.400
5707.76256	3.250
5714.28571	3.152
5720.8238	3.065
5727.37686	3.015
5733.94495	2.977
5740.52813	2.973
5747.12644	2.989
5753.73993	3.043
5760.36866	3.120
5767.01269	3.221
5773.67206	3.311
5780.34682	3.484
5787.03704	3.699
5793.74276	3.966
5800.46404	4.263
5807.20093	4.137
5813.95349	3.998
5820.72177	3.546
5827.50583	3.066
5834.30572	2.640
5841.1215	2.267
5847.95322	1.951
5854.80094	1.682
5861.66471	1.451
5868.5446	1.253
5875.44066	1.084
5882.35294	0.9367
5889.28151	0.8103
5896.22642	0.7017
5903.18772	0.6078
5910.16548	0.5282
5917.15976	0.4607
5924.17062	0.4040
5931.1981	0.3564
5938.24228	0.3172
5945.30321	0.2848
5952.38095	0.2578
5959.47557	0.2355
5966.58711	0.2168
5973.71565	0.2005
5980.86124	0.1866
5988.02395	0.1741
5995.20384	0.1633
6002.40096	0.1539
6009.61538	0.1456
6016.84717	0.1384
6024.09639	0.1321
6031.36309	0.1269
6038.64734	0.1227
6045.94921	0.1192
6053.26877	0.1166
6060.60606	0.1146
6067.96117	0.1133
6075.33414	0.1126
6082.72506	0.1123
6090.13398	0.1122
6097.56098	0.1123
6105.00611	0.1125
6112.46944	0.1125
6119.95104	0.1122
6127.45098	0.1116
6134.96933	0.1106
6142.50614	0.1090
6150.0615	0.1069
6157.63547	0.1045
6165.22811	0.1017
6172.83951	0.09861
6180.46972	0.09548
6188.11881	0.09235
6195.78686	0.08933
6203.47395	0.08645
6211.18012	0.08385
6218.90547	0.08145
6226.65006	0.07929
6234.41397	0.07745
6242.19725	0.07597
6250	0.07489
6257.82228	0.07402
6265.66416	0.07342
6273.52572	0.07296
6281.40704	0.07257
6289.30818	0.07227
6297.22922	0.07209
6305.17024	0.07182
6313.13131	0.07157
6321.11252	0.07139
6329.11392	0.07120
6337.13561	0.07106
6345.17766	0.07099
6353.24015	0.07109
6361.32316	0.07127
6369.42675	0.07158
6377.55102	0.07192
6385.69604	0.07232
6393.86189	0.07279
6402.04866	0.07335
6410.25641	0.07399
6418.48524	0.07466
6426.73522	0.07538
6435.00644	0.07624
6443.29897	0.07732
6451.6129	0.07859
6459.94832	0.07999
6468.3053	0.08158
6476.68394	0.08351
6485.08431	0.08562
6493.50649	0.08791
6501.95059	0.09053
6510.41667	0.09331
6518.90482	0.09629
6527.41514	0.09936
6535.94771	0.1025
6544.50262	0.1058
6553.07995	0.1091
6561.67979	0.1124
6570.30223	0.1159
6578.94737	0.1196
6587.61528	0.1235
6596.30607	0.1276
6605.01982	0.1320
6613.75661	0.1366
6622.51656	0.1411
6631.29973	0.1456
6640.10624	0.1499
6648.93617	0.1536
6657.78961	0.1567
6666.66667	0.1593
6675.56742	0.1614
6684.49198	0.1629
6693.44043	0.1641
6702.41287	0.1651
6711.4094	0.1663
6720.43011	0.1678
6729.4751	0.1697
6738.54447	0.1723
6747.63833	0.1755
6756.75676	0.1794
6765.89986	0.1837
6775.06775	0.1885
6784.26052	0.1937
6793.47826	0.1990
