	A
	
	Decaline.Sample.Raw.csv
2650	3.993
2645	3.993
2640	3.993
2635	3.993
2630	3.993
2625	3.993
2620	3.993
2615	3.993
2610	3.993
2605	3.993
2600	3.993
2595	3.993
2590	3.993
2585	3.993
2580	3.993
2575	3.993
2570	3.993
2565	3.993
2560	3.993
2555	3.993
2550	3.993
2545	3.993
2540	3.993
2535	3.993
2530	3.993
2525	3.993
2520	3.993
2515	3.993
2510	3.993
2505	3.993
2500	3.993
2495	3.993
2490	3.993
2485	3.993
2480	3.993
2475	3.993
2470	3.993
2465	3.993
2460	3.993
2455	3.993
2450	3.993
2445	3.993
2440	3.993
2435	3.993
2430	3.993
2425	3.993
2420	3.993
2415	3.993
2410	3.993
2405	3.993
2400	3.993
2395	3.993
2390	3.993
2385	3.993
2380	3.993
2375	3.993
2370	3.993
2365	3.993
2360	3.993
2355	3.993
2350	3.993
2345	3.993
2340	3.993
2335	3.993
2330	3.993
2325	3.993
2320	3.993
2315	3.993
2310	3.993
2305	3.993
2300	3.971
2295	3.825
2290	3.644
2285	3.384
2280	3.075
2275	2.717
2270	2.350
2265	2.016
2260	1.770
2255	1.515
2250	1.213
2245	1.053
2240	0.9482
2235	0.8663
2230	0.8278
2225	0.7939
2220	0.7665
2215	0.7395
2210	0.7210
2205	0.7090
2200	0.6981
2195	0.6991
2190	0.7005
2185	0.7042
2180	0.7111
2175	0.7089
2170	0.6982
2165	0.6839
2160	0.6743
2155	0.6660
2150	0.6552
2145	0.6517
2140	0.6508
2135	0.6469
2130	0.6452
2125	0.6450
2120	0.6450
2115	0.6447
2110	0.6476
2105	0.6475
2100	0.6480
2095	0.6553
2090	0.6653
2085	0.6698
2080	0.6724
2075	0.6813
2070	0.6910
2065	0.6978
2060	0.7050
2055	0.7072
2050	0.7100
2045	0.7166
2040	0.7282
2035	0.7397
2030	0.7540
2025	0.7786
2020	0.8073
2015	0.8346
2010	0.8601
2005	0.8805
2000	0.9042
1995	0.9348
1990	0.9673
1985	0.9920
1980	1.010
1975	1.033
1970	1.056
1965	1.071
1960	1.077
1955	1.075
1950	1.071
1945	1.063
1940	1.050
1935	1.034
1930	1.029
1925	1.049
1920	1.080
1915	1.113
1910	1.141
1905	1.162
1900	1.175
1895	1.178
1890	1.181
1885	1.179
1880	1.175
1875	1.173
1870	1.186
1865	1.210
1860	1.237
1855	1.283
1850	1.349
1845	1.436
1840	1.559
1835	1.712
1830	1.866
1825	2.068
1820	2.181
1815	2.188
1810	2.142
1805	2.039
1800	2.340
1798	2.329
1796	2.314
1794	2.291
1792	2.269
1790	2.251
1788	2.238
1786	2.232
1784	2.236
1782	2.252
1780	2.281
1778	2.327
1776	2.390
1774	2.469
1772	2.566
1770	2.691
1768	2.830
1766	2.999
1764	3.184
1762	3.373
1760	3.543
1758	3.592
1756	3.556
1754	3.400
1752	3.250
1750	3.152
1748	3.065
1746	3.015
1744	2.977
1742	2.973
1740	2.989
1738	3.043
1736	3.120
1734	3.221
1732	3.311
1730	3.484
1728	3.699
1726	3.966
1724	4.263
1722	4.137
1720	3.998
1718	3.546
1716	3.066
1714	2.640
1712	2.267
1710	1.951
1708	1.682
1706	1.451
1704	1.253
1702	1.084
1700	0.9367
1698	0.8103
1696	0.7017
1694	0.6078
1692	0.5282
1690	0.4607
1688	0.4040
1686	0.3564
1684	0.3172
1682	0.2848
1680	0.2578
1678	0.2355
1676	0.2168
1674	0.2005
1672	0.1866
1670	0.1741
1668	0.1633
1666	0.1539
1664	0.1456
1662	0.1384
1660	0.1321
1658	0.1269
1656	0.1227
1654	0.1192
1652	0.1166
1650	0.1146
1648	0.1133
1646	0.1126
1644	0.1123
1642	0.1122
1640	0.1123
1638	0.1125
1636	0.1125
1634	0.1122
1632	0.1116
1630	0.1106
1628	0.1090
1626	0.1069
1624	0.1045
1622	0.1017
1620	0.09861
1618	0.09548
1616	0.09235
1614	0.08933
1612	0.08645
1610	0.08385
1608	0.08145
1606	0.07929
1604	0.07745
1602	0.07597
1600	0.07489
1598	0.07402
1596	0.07342
1594	0.07296
1592	0.07257
1590	0.07227
1588	0.07209
1586	0.07182
1584	0.07157
1582	0.07139
1580	0.07120
1578	0.07106
1576	0.07099
1574	0.07109
1572	0.07127
1570	0.07158
1568	0.07192
1566	0.07232
1564	0.07279
1562	0.07335
1560	0.07399
1558	0.07466
1556	0.07538
1554	0.07624
1552	0.07732
1550	0.07859
1548	0.07999
1546	0.08158
1544	0.08351
1542	0.08562
1540	0.08791
1538	0.09053
1536	0.09331
1534	0.09629
1532	0.09936
1530	0.1025
1528	0.1058
1526	0.1091
1524	0.1124
1522	0.1159
1520	0.1196
1518	0.1235
1516	0.1276
1514	0.1320
1512	0.1366
1510	0.1411
1508	0.1456
1506	0.1499
1504	0.1536
1502	0.1567
1500	0.1593
1498	0.1614
1496	0.1629
1494	0.1641
1492	0.1651
1490	0.1663
1488	0.1678
1486	0.1697
1484	0.1723
1482	0.1755
1480	0.1794
1478	0.1837
1476	0.1885
1474	0.1937
1472	0.1990
1470	0.2045
1468	0.2101
1466	0.2156
1464	0.2214
1462	0.2275
1460	0.2344
1458	0.2421
1456	0.2509
1454	0.2607
1452	0.2714
1450	0.2830
1448	0.2950
1446	0.3070
1444	0.3183
1442	0.3284
1440	0.3373
1438	0.3448
1436	0.3515
1434	0.3576
1432	0.3641
1430	0.3713
1428	0.3799
1426	0.3897
1424	0.4003
1422	0.4113
1420	0.4214
1418	0.4295
1416	0.4344
1414	0.4353
1412	0.4317
1410	0.4250
1408	0.4164
1406	0.4084
1404	0.4023
1402	0.3991
1400	0.3990
1398	0.4011
1396	0.4045
1394	0.4069
1392	0.4055
1390	0.3977
1388	0.3819
1386	0.3587
1384	0.3294
1382	0.2963
1380	0.2623
1378	0.2296
1376	0.1986
1374	0.1703
1372	0.1457
1370	0.1242
1368	0.1055
1366	0.08983
1364	0.07666
1362	0.06546
1360	0.05620
1358	0.04875
1356	0.04274
1354	0.03815
1352	0.03466
1350	0.03214
1348	0.03032
1346	0.02915
1344	0.02839
1342	0.02792
1340	0.02777
1338	0.02789
1336	0.02806
1334	0.02844
1332	0.02898
1330	0.02945
1328	0.03019
1326	0.03098
1324	0.03177
1322	0.03289
1320	0.03396
1318	0.03513
1316	0.03639
1314	0.03770
1312	0.03911
1310	0.04069
1308	0.04245
1306	0.04430
1304	0.04627
1302	0.04839
1300	0.05070
1298	0.05301
1296	0.05573
1294	0.05842
1292	0.06142
1290	0.06450
1288	0.06808
1286	0.07166
1284	0.07558
1282	0.07985
1280	0.08434
1278	0.08926
1276	0.09468
1274	0.1004
1272	0.1067
1270	0.1134
1268	0.1208
1266	0.1288
1264	0.1374
1262	0.1470
1260	0.1575
1258	0.1689
1256	0.1818
1254	0.1960
1252	0.2114
1250	0.2281
1248	0.2462
1246	0.2653
1244	0.2858
1242	0.3074
1240	0.3302
1238	0.3543
1236	0.3809
1234	0.4103
1232	0.4428
1230	0.4791
1228	0.5196
1226	0.5645
1224	0.6146
